GtecTime,UnityTime,CombinedEyeValidDataBitMask,LeftEyeValidDataBitMask,RightEyeValidDataBitMask,CombinedEyeOpenness,LeftEyeOpenness,RightEyeOpenness,CombinedPupilDiameter,LeftPupilDiameter,RightPupilDiameter,CombinedPupilPosition,LeftPupilPosition,RightPupilPosition,CombinedGazeOrigin,LeftGazeOrigin,RightGazeOrigin,CombinedGazeDirection,LeftGazeDirection,RightGazeDirection,LeftEyeWide,RightEyeWide,LeftEyeSqeeze,RightEyeSqeeze,LeftEyeFrown,RightEyeFrown,FocusStatus,RayOriginal,RayDirection,Collider,Distance,Normal,Point,Transform.position,Transform.rotation,Camera.position,Camera.rotation
0,1427142,3,31,31,0,0.5256071,0.5009124,0,2.875076,2.703125,"(0.0, 0.0)","(0.7, 0.6)","(0.6, 0.6)","(-32.5, 3.2, -30.9)","(27.8, -0.2, -25.9)","(-32.7, 3.2, -30.9)","(-0.1, -0.6, 0.8)","(-0.3, -0.5, 0.8)","(-0.1, -0.6, 0.8)",0,0,0,0,0,0,False,0,0,0,0,0,0,0,0,"(-0.2, 3.7, 3.8)","(0.0, -1.0, 0.0, 0.3)"
0,1432191,3,31,31,0,1,1,0,3.001389,2.917404,"(0.0, 0.0)","(0.6, 0.5)","(0.6, 0.5)","(6.5, 2.8, -27.7)","(28.8, 1.7, -25.7)","(-32.1, 4.7, -31.2)","(0.0, -0.1, 1.0)","(0.0, -0.1, 1.0)","(0.0, -0.1, 1.0)",0.4759742,0.4759742,0,0,0,0,False,0,0,0,0,0,0,0,0,"(0.0, 7.1, -7.7)","(0.0, 0.0, 0.0, 1.0)"
0,1432209,3,31,31,0,1,1,0,2.958694,2.952118,"(0.0, 0.0)","(0.6, 0.5)","(0.6, 0.5)","(-13.0, 3.8, -29.5)","(28.8, 1.7, -25.7)","(-32.1, 4.7, -31.2)","(0.0, -0.1, 1.0)","(0.0, -0.1, 1.0)","(0.0, -0.1, 1.0)",0.4947834,0.4947834,0,0,0,0,False,0,0,0,0,0,0,0,0,"(0.0, 7.1, -7.6)","(0.0, 0.0, 0.0, 1.0)"
0,1432229,3,31,31,0,1,1,0,2.958557,2.951889,"(0.0, 0.0)","(0.6, 0.5)","(0.6, 0.5)","(13.3, 2.5, -27.1)","(28.8, 1.7, -25.7)","(-32.1, 4.7, -31.2)","(0.0, -0.1, 1.0)","(0.0, -0.1, 1.0)","(0.0, -0.1, 1.0)",0.498746,0.498746,0,0,0,0,False,0,0,0,0,0,0,0,0,"(0.0, 7.1, -7.6)","(0.0, 0.0, 0.0, 1.0)"
0,1432247,3,31,31,0,1,1,0,2.980591,2.964996,"(0.0, 0.0)","(0.6, 0.5)","(0.6, 0.5)","(21.7, 2.0, -26.3)","(28.8, 1.7, -25.7)","(-32.1, 4.7, -31.2)","(0.0, -0.1, 1.0)","(0.0, -0.1, 1.0)","(0.0, -0.1, 1.0)",0.5414414,0.5414414,0,0,0,0,False,0,0,0,0,0,0,0,0,"(0.0, 7.1, -7.4)","(0.0, 0.0, 0.0, 1.0)"
0,1432265,3,31,31,0,1,1,0,2.992661,2.95488,"(0.0, 0.0)","(0.6, 0.5)","(0.6, 0.5)","(-2.1, 3.2, -28.5)","(28.8, 1.7, -25.7)","(-32.1, 4.7, -31.2)","(0.0, -0.1, 1.0)","(0.0, -0.1, 1.0)","(0.0, -0.1, 1.0)",0.5403696,0.5403696,0,0,0,0,False,0,0,0,0,0,0,0,0,"(0.0, 7.1, -7.3)","(0.0, 0.0, 0.0, 1.0)"
0,1432282,3,31,31,0,1,1,0,2.992996,2.954514,"(0.0, 0.0)","(0.6, 0.5)","(0.6, 0.5)","(-2.5, 3.2, -28.5)","(28.8, 1.6, -25.7)","(-32.1, 4.7, -31.2)","(0.0, -0.1, 1.0)","(0.0, -0.1, 1.0)","(0.0, -0.1, 1.0)",0.5285625,0.5285625,0,0,0,0,False,0,0,0,0,0,0,0,0,"(0.0, 7.1, -7.1)","(0.0, 0.0, 0.0, 1.0)"
0,1432300,3,31,31,0,1,1,0,2.968613,2.941315,"(0.0, 0.0)","(0.6, 0.5)","(0.6, 0.5)","(-2.0, 3.2, -28.5)","(28.8, 1.6, -25.7)","(-32.1, 4.7, -31.2)","(0.0, -0.1, 1.0)","(0.0, -0.1, 1.0)","(0.0, -0.1, 1.0)",0.5324095,0.5324095,0,0,0,0,False,0,0,0,0,0,0,0,0,"(0.0, 7.1, -6.9)","(0.0, 0.0, 0.0, 1.0)"
0,1432319,3,31,31,0,1,1,0,2.951843,2.941406,"(0.0, 0.0)","(0.6, 0.5)","(0.6, 0.5)","(-1.5, 3.2, -28.4)","(28.8, 1.6, -25.7)","(-32.1, 4.7, -31.2)","(0.0, -0.1, 1.0)","(0.0, -0.1, 1.0)","(0.0, -0.1, 1.0)",0.543646,0.543646,0,0,0,0,False,0,0,0,0,0,0,0,0,"(0.0, 7.1, -6.6)","(0.0, 0.0, 0.0, 1.0)"
0,1432338,3,31,31,0,1,1,0,2.966858,2.941437,"(0.0, 0.0)","(0.6, 0.5)","(0.6, 0.5)","(-1.5, 3.2, -28.4)","(28.8, 1.6, -25.7)","(-32.1, 4.7, -31.2)","(0.0, -0.1, 1.0)","(0.0, -0.1, 1.0)","(0.0, -0.1, 1.0)",0.5543401,0.5543401,0,0,0,0,False,0,0,0,0,0,0,0,0,"(0.0, 7.1, -6.3)","(0.0, 0.0, 0.0, 1.0)"
0,1432358,3,31,31,0,1,1,0,2.966888,2.939941,"(0.0, 0.0)","(0.6, 0.5)","(0.6, 0.5)","(-1.5, 3.2, -28.4)","(28.8, 1.6, -25.7)","(-32.1, 4.7, -31.2)","(0.0, -0.1, 1.0)","(0.0, -0.1, 1.0)","(0.0, -0.1, 1.0)",0.5608141,0.5608141,0,0,0,0,False,0,0,0,0,0,0,0,0,"(0.0, 7.1, -6.1)","(0.0, 0.0, 0.0, 1.0)"
0,1432377,3,31,31,0,1,1,0,2.951218,2.939804,"(0.0, 0.0)","(0.6, 0.5)","(0.6, 0.5)","(-1.3, 3.2, -28.4)","(28.9, 1.6, -25.7)","(-32.1, 4.7, -31.2)","(0.0, -0.1, 1.0)","(0.0, -0.1, 1.0)","(0.0, -0.1, 1.0)",0.5602815,0.5602815,0,0,0,0,False,0,0,0,0,0,0,0,0,"(0.0, 7.1, -5.7)","(0.0, 0.0, 0.0, 1.0)"
0,1432397,3,31,31,0,1,1,0,2.949158,2.93602,"(0.0, 0.0)","(0.6, 0.5)","(0.6, 0.5)","(-1.2, 3.2, -28.4)","(28.9, 1.6, -25.7)","(-32.1, 4.7, -31.2)","(0.0, -0.1, 1.0)","(0.0, -0.1, 1.0)","(0.0, -0.1, 1.0)",0.5675778,0.5675778,0,0,0,0,False,0,0,0,0,0,0,0,0,"(0.0, 7.1, -5.4)","(0.0, 0.0, 0.0, 1.0)"
