GtecTime,UnityTime,CombinedEyeValidDataBitMask,LeftEyeValidDataBitMask,RightEyeValidDataBitMask,CombinedEyeOpenness,LeftEyeOpenness,RightEyeOpenness,CombinedPupilDiameter,LeftPupilDiameter,RightPupilDiameter,CombinedPupilPosition,LeftPupilPosition,RightPupilPosition,CombinedGazeOrigin,LeftGazeOrigin,RightGazeOrigin,CombinedGazeDirection,LeftGazeDirection,RightGazeDirection,LeftEyeWide,RightEyeWide,LeftEyeSqeeze,RightEyeSqeeze,LeftEyeFrown,RightEyeFrown,FocusStatus,RayOriginal,RayDirection,Collider,Distance,Normal,Point,Transform.position,Transform.rotation,Camera.position,Camera.rotation
0,3209436,0,25,25,0,0.5710828,0.4913313,0,-1,-1,"(0.0, 0.0)","(0.5, 0.5)","(0.5, 0.5)","(-1.0, -1.0, -1.0)","(30.0, 2.7, -27.3)","(-30.0, 5.1, -31.6)","(-1.0, -1.0, -1.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)",0,0,0,0,0,0,False,0,0,0,0,0,0,0,0,"(-0.2, 3.7, 3.8)","(0.0, -1.0, 0.0, 0.2)"
0,3214488,3,31,31,0,1,1,0,3.187012,3.413452,"(0.0, 0.0)","(0.6, 0.4)","(0.5, 0.4)","(28.6, 4.1, -27.4)","(28.7, 4.0, -27.4)","(-30.1, 5.4, -28.7)","(-0.1, 0.0, 1.0)","(-0.1, 0.0, 1.0)","(0.0, -0.1, 1.0)",0.1173721,0.1173721,0,0,0,0,False,0,0,0,0,0,0,0,0,"(0.0, 7.1, -7.7)","(0.1, 0.0, 0.0, 1.0)"
0,3214509,3,31,31,0,1,1,0,3.137909,3.310776,"(0.0, 0.0)","(0.6, 0.4)","(0.5, 0.4)","(28.6, 3.8, -26.6)","(28.6, 3.8, -26.6)","(-30.2, 5.3, -28.3)","(-0.1, 0.0, 1.0)","(-0.1, 0.0, 1.0)","(0.0, 0.0, 1.0)",0.1363633,0.1363633,0,0,0,0,False,0,0,0,0,0,0,0,0,"(0.0, 7.1, -7.6)","(0.1, 0.0, 0.0, 1.0)"
0,3214527,3,31,31,0,1,1,0,3.228226,3.323792,"(0.0, 0.0)","(0.6, 0.4)","(0.5, 0.4)","(28.6, 3.8, -26.6)","(28.6, 3.8, -26.6)","(-30.2, 5.3, -28.3)","(-0.1, 0.0, 1.0)","(-0.1, 0.0, 1.0)","(0.0, 0.0, 1.0)",0.1147776,0.1147776,0,0,0,0,False,0,0,0,0,0,0,0,0,"(0.0, 7.1, -7.5)","(0.1, 0.0, 0.0, 1.0)"
0,3214547,3,31,31,0,1,1,0,3.193207,3.32782,"(0.0, 0.0)","(0.6, 0.4)","(0.5, 0.4)","(28.6, 3.8, -26.6)","(28.6, 3.8, -26.6)","(-30.2, 5.3, -28.3)","(-0.1, 0.0, 1.0)","(-0.1, 0.0, 1.0)","(0.0, 0.0, 1.0)",0.1928707,0.1928707,0,0,0,0,False,0,0,0,0,0,0,0,0,"(0.0, 7.1, -7.4)","(0.1, 0.0, 0.0, 1.0)"
0,3214567,3,31,31,0,1,1,0,3.185181,3.318771,"(0.0, 0.0)","(0.6, 0.4)","(0.5, 0.4)","(1.2, 4.5, -27.4)","(28.6, 3.8, -26.6)","(-30.2, 5.3, -28.4)","(-0.1, 0.0, 1.0)","(-0.1, 0.0, 1.0)","(0.0, 0.0, 1.0)",0.2103705,0.2103705,0,0,0,0,False,0,0,0,0,0,0,0,0,"(0.0, 7.1, -7.1)","(0.1, 0.0, 0.0, 1.0)"
0,3214588,3,31,31,0,1,1,0,3.185303,3.318863,"(0.0, 0.0)","(0.6, 0.4)","(0.5, 0.4)","(1.3, 4.5, -27.4)","(28.6, 3.8, -26.6)","(-30.2, 5.3, -28.4)","(-0.1, 0.0, 1.0)","(-0.1, 0.0, 1.0)","(0.0, 0.0, 1.0)",0.2397128,0.2397128,0,0,0,0,False,0,0,0,0,0,0,0,0,"(0.0, 7.1, -6.9)","(0.1, 0.0, 0.0, 1.0)"
0,3214608,3,31,31,0,1,1,0,3.175415,3.318893,"(0.0, 0.0)","(0.6, 0.4)","(0.5, 0.4)","(0.8, 4.5, -27.4)","(28.6, 3.8, -26.6)","(-30.2, 5.3, -28.4)","(-0.1, 0.0, 1.0)","(-0.1, 0.0, 1.0)","(0.0, 0.0, 1.0)",0.250834,0.250834,0,0,0,0,False,0,0,0,0,0,0,0,0,"(0.0, 7.1, -6.6)","(0.1, 0.0, 0.0, 1.0)"
0,3214626,3,31,31,0,1,1,0,3.177002,3.31398,"(0.0, 0.0)","(0.6, 0.4)","(0.5, 0.4)","(0.3, 4.5, -27.4)","(28.6, 3.8, -26.6)","(-30.2, 5.3, -28.3)","(-0.1, 0.0, 1.0)","(-0.1, 0.0, 1.0)","(0.0, 0.0, 1.0)",0.2295868,0.2295868,0,0,0,0,False,0,0,0,0,0,0,0,0,"(0.0, 7.1, -6.3)","(0.1, 0.0, 0.0, 1.0)"
0,3214645,3,31,31,0,1,1,0,3.177032,3.315384,"(0.0, 0.0)","(0.6, 0.4)","(0.5, 0.4)","(0.3, 4.5, -27.4)","(28.6, 3.8, -26.6)","(-30.2, 5.3, -28.4)","(-0.1, 0.0, 1.0)","(-0.1, 0.0, 1.0)","(0.0, 0.0, 1.0)",0.2413248,0.2413248,0,0,0,0,False,0,0,0,0,0,0,0,0,"(0.0, 7.1, -6.0)","(0.1, 0.0, 0.0, 1.0)"
0,3214664,3,31,31,0,1,1,0,3.176956,3.310684,"(0.0, 0.0)","(0.6, 0.4)","(0.5, 0.4)","(0.4, 4.5, -27.4)","(28.6, 3.8, -26.6)","(-30.2, 5.3, -28.4)","(-0.1, 0.0, 1.0)","(-0.1, 0.0, 1.0)","(0.0, 0.0, 1.0)",0.2531191,0.2531191,0,0,0,0,False,0,0,0,0,0,0,0,0,"(0.0, 7.1, -5.6)","(0.1, 0.0, 0.0, 1.0)"
0,3214685,3,31,31,0,1,1,0,3.172897,3.300644,"(0.0, 0.0)","(0.6, 0.4)","(0.5, 0.4)","(0.9, 4.5, -27.4)","(28.6, 3.8, -26.6)","(-30.2, 5.3, -28.4)","(-0.1, 0.0, 1.0)","(-0.1, 0.0, 1.0)","(0.0, 0.0, 1.0)",0.2339258,0.2339258,0,0,0,0,False,0,0,0,0,0,0,0,0,"(0.0, 7.1, -5.3)","(0.1, 0.0, 0.0, 1.0)"
0,3214705,3,31,31,0,1,1,0,3.166855,3.298431,"(0.0, 0.0)","(0.6, 0.4)","(0.5, 0.4)","(1.3, 4.5, -27.4)","(28.6, 3.8, -26.6)","(-30.2, 5.3, -28.4)","(-0.1, 0.0, 1.0)","(-0.1, 0.0, 1.0)","(0.0, 0.0, 1.0)",0.2226581,0.2226581,0,0,0,0,False,0,0,0,0,0,0,0,0,"(0.0, 7.1, -4.9)","(0.1, 0.0, 0.0, 1.0)"
0,3214725,3,31,31,0,1,1,0,3.17276,3.279297,"(0.0, 0.0)","(0.6, 0.4)","(0.5, 0.4)","(1.6, 4.5, -27.4)","(28.6, 3.8, -26.6)","(-30.2, 5.3, -28.4)","(-0.1, 0.0, 1.0)","(-0.1, 0.0, 1.0)","(0.0, 0.0, 1.0)",0.2462588,0.2462588,0,0,0,0,False,0,0,0,0,0,0,0,0,"(0.0, 7.1, -4.4)","(0.1, 0.0, 0.0, 1.0)"
0,3214743,3,31,31,0,1,1,0,3.172577,3.279114,"(0.0, 0.0)","(0.6, 0.4)","(0.5, 0.4)","(1.2, 4.5, -27.4)","(28.6, 3.8, -26.6)","(-30.2, 5.3, -28.4)","(-0.1, 0.0, 1.0)","(-0.1, 0.0, 1.0)","(0.0, 0.0, 1.0)",0.2555332,0.2555332,0,0,0,0,False,0,0,0,0,0,0,0,0,"(0.0, 7.1, -4.0)","(0.1, 0.0, 0.0, 1.0)"
0,3214762,3,31,31,0,1,1,0,3.172668,3.278748,"(0.0, 0.0)","(0.6, 0.4)","(0.5, 0.4)","(0.4, 4.5, -27.4)","(28.6, 3.8, -26.6)","(-30.2, 5.3, -28.4)","(-0.1, 0.0, 1.0)","(-0.1, 0.0, 1.0)","(0.0, -0.1, 1.0)",0.2681723,0.2681723,0,0,0,0,False,0,0,0,0,0,0,0,0,"(0.0, 7.1, -3.6)","(0.1, 0.0, 0.0, 1.0)"
0,3214782,3,31,31,0,1,1,0,3.160889,3.274246,"(0.0, 0.0)","(0.6, 0.4)","(0.5, 0.4)","(0.4, 4.5, -27.4)","(28.7, 3.8, -26.6)","(-30.2, 5.3, -28.4)","(-0.1, 0.0, 1.0)","(-0.1, 0.0, 1.0)","(0.0, -0.1, 1.0)",0.2827801,0.2827801,0,0,0,0,False,0,0,0,0,0,0,0,0,"(0.0, 7.1, -3.1)","(0.1, 0.0, 0.0, 1.0)"
0,3214805,3,31,31,0,1,1,0,3.154739,3.276779,"(0.0, 0.0)","(0.6, 0.4)","(0.5, 0.4)","(4.1, 4.4, -27.3)","(28.7, 3.8, -26.6)","(-30.2, 5.2, -28.3)","(-0.1, 0.0, 1.0)","(-0.1, 0.0, 1.0)","(0.0, 0.0, 1.0)",0.2691118,0.2691118,0,0,0,0,False,0,0,0,0,0,0,0,0,"(0.0, 7.1, -2.6)","(0.1, 0.0, 0.0, 1.0)"
0,3214827,3,31,31,0,1,1,0,3.13324,3.254807,"(0.0, 0.0)","(0.6, 0.4)","(0.5, 0.4)","(10.7, 4.2, -27.1)","(28.7, 3.8, -26.6)","(-30.2, 5.2, -28.2)","(-0.1, 0.0, 1.0)","(-0.1, 0.0, 1.0)","(0.0, 0.0, 1.0)",0.2878101,0.2878101,0,0,0,0,False,0,0,0,0,0,0,0,0,"(0.0, 7.1, -2.1)","(0.1, 0.0, 0.0, 1.0)"
0,3214849,3,31,31,0,1,1,0,3.035751,3.203995,"(0.0, 0.0)","(0.6, 0.4)","(0.5, 0.4)","(8.4, 4.2, -27.2)","(28.7, 3.7, -26.7)","(-30.1, 5.1, -28.2)","(-0.1, 0.0, 1.0)","(-0.1, 0.0, 1.0)","(0.0, -0.1, 1.0)",0.2328255,0.2328255,0,0,0,0,False,0,0,0,0,0,0,0,0,"(0.0, 7.1, -1.6)","(0.1, 0.0, 0.0, 1.0)"
0,3214871,3,31,31,0,1,1,0,3.138535,3.201843,"(0.0, 0.0)","(0.6, 0.4)","(0.5, 0.4)","(29.0, 3.6, -26.3)","(29.2, 3.6, -26.3)","(-29.5, 4.7, -26.8)","(0.0, -0.1, 1.0)","(0.0, -0.1, 1.0)","(0.0, -0.1, 1.0)",0.2312222,0.2312222,0,0,0,0,False,0,0,0,0,0,0,0,0,"(0.0, 7.1, -1.1)","(0.1, 0.0, 0.0, 1.0)"
0,3214893,3,31,31,0,1,1,0,3.122498,3.136688,"(0.0, 0.0)","(0.6, 0.4)","(0.5, 0.4)","(29.2, 3.5, -26.2)","(29.2, 3.5, -26.2)","(-29.5, 4.5, -26.2)","(0.0, -0.1, 1.0)","(0.0, -0.1, 1.0)","(0.0, -0.1, 1.0)",0.1622415,0.1622415,0,0,0,0,False,0,0,0,0,0,0,0,0,"(0.0, 7.1, -0.6)","(0.1, 0.0, 0.0, 1.0)"
0,3214915,3,31,31,0,1,1,0,3.102585,3.185532,"(0.0, 0.0)","(0.6, 0.4)","(0.5, 0.4)","(29.2, 3.5, -26.2)","(29.2, 3.5, -26.2)","(-29.5, 4.5, -26.1)","(0.0, -0.1, 1.0)","(0.0, -0.1, 1.0)","(0.0, -0.1, 1.0)",0.1221602,0.1221602,0,0,0,0,False,0,0,0,0,0,0,0,0,"(0.0, 7.1, 0.0)","(0.1, 0.0, 0.0, 1.0)"
0,3214938,3,31,31,0,1,1,0,3.099548,3.182602,"(0.0, 0.0)","(0.6, 0.4)","(0.5, 0.4)","(29.2, 3.5, -26.2)","(29.2, 3.5, -26.2)","(-29.5, 4.4, -26.1)","(0.0, -0.1, 1.0)","(0.0, -0.1, 1.0)","(0.0, -0.1, 1.0)",0.1475633,0.1475633,0,0,0,0,False,0,0,0,0,0,0,0,0,"(0.0, 7.1, 0.5)","(0.1, 0.0, 0.0, 1.0)"
0,3214960,3,31,31,0,1,1,0,3.065018,3.174744,"(0.0, 0.0)","(0.6, 0.4)","(0.5, 0.4)","(7.3, 3.8, -26.1)","(29.2, 3.5, -26.2)","(-29.5, 4.4, -26.1)","(0.0, -0.1, 1.0)","(0.0, -0.1, 1.0)","(0.0, -0.1, 1.0)",0.156248,0.156248,0,0,0,0,False,0,0,0,0,0,0,0,0,"(0.0, 7.1, 1.1)","(0.1, 0.0, 0.0, 1.0)"
0,3214982,3,31,31,0,1,1,0,3.065491,3.17421,"(0.0, 0.0)","(0.6, 0.4)","(0.5, 0.4)","(3.5, 3.9, -26.1)","(29.2, 3.5, -26.2)","(-29.5, 4.4, -26.1)","(0.0, -0.1, 1.0)","(0.0, -0.1, 1.0)","(0.0, -0.1, 1.0)",0.141692,0.141692,0,0,0,0,False,0,0,0,0,0,0,0,0,"(0.0, 7.1, 1.7)","(0.1, 0.0, 0.0, 1.0)"
0,3215005,3,31,31,0,1,1,0,3.064789,3.166916,"(0.0, 0.0)","(0.6, 0.4)","(0.5, 0.4)","(0.4, 3.9, -26.1)","(29.2, 3.4, -26.1)","(-29.5, 4.4, -26.1)","(0.0, -0.1, 1.0)","(0.0, -0.1, 1.0)","(0.0, -0.1, 1.0)",0.1623407,0.1623407,0,0,0,0,False,0,0,0,0,0,0,0,0,"(0.0, 7.1, 2.3)","(0.1, 0.0, 0.0, 1.0)"
0,3215026,3,31,31,0,1,1,0,3.028763,3.16478,"(0.0, 0.0)","(0.6, 0.4)","(0.5, 0.4)","(-0.8, 3.9, -26.1)","(29.2, 3.4, -26.1)","(-29.5, 4.4, -26.1)","(0.0, -0.1, 1.0)","(0.0, -0.1, 1.0)","(0.0, -0.1, 1.0)",0.1514025,0.1514025,0,0,0,0,False,0,0,0,0,0,0,0,0,"(0.0, 7.1, 2.9)","(0.1, 0.0, 0.0, 1.0)"
0,3215048,3,31,31,0,1,1,0,3.02684,3.163574,"(0.0, 0.0)","(0.6, 0.4)","(0.5, 0.4)","(-1.3, 3.9, -26.1)","(29.2, 3.4, -26.1)","(-29.5, 4.4, -26.1)","(0.0, -0.1, 1.0)","(0.0, -0.1, 1.0)","(0.0, -0.1, 1.0)",0.1654311,0.1654311,0,0,0,0,False,0,0,0,0,0,0,0,0,"(0.0, 7.1, 3.5)","(0.1, 0.0, 0.0, 1.0)"
0,3215071,3,31,31,0,1,1,0,3.013535,3.163193,"(0.0, 0.0)","(0.6, 0.4)","(0.5, 0.4)","(9.2, 3.7, -26.0)","(29.2, 3.4, -26.1)","(-29.5, 4.3, -25.8)","(0.0, -0.1, 1.0)","(0.0, -0.1, 1.0)","(0.0, -0.1, 1.0)",0.1713523,0.1713523,0,0,0,0,False,0,0,0,0,0,0,0,0,"(0.0, 7.1, 4.1)","(0.1, 0.0, 0.0, 1.0)"
