GtecTime,UnityTime,CombinedEyeValidDataBitMask,LeftEyeValidDataBitMask,RightEyeValidDataBitMask,CombinedEyeOpenness,LeftEyeOpenness,RightEyeOpenness,CombinedPupilDiameter,LeftPupilDiameter,RightPupilDiameter,CombinedPupilPosition,LeftPupilPosition,RightPupilPosition,CombinedGazeOrigin,LeftGazeOrigin,RightGazeOrigin,CombinedGazeDirection,LeftGazeDirection,RightGazeDirection,LeftEyeWide,RightEyeWide,LeftEyeSqeeze,RightEyeSqeeze,LeftEyeFrown,RightEyeFrown,FocusStatus,RayOriginal,RayDirection,Collider,Distance,Normal,Point,Transform.position,Transform.rotation,Camera.position,Camera.rotation
0,108961.7,3,31,31,0,0.8946182,0.9129754,0,3.176483,3.147919,"(0.0, 0.0)","(0.5, 0.5)","(0.5, 0.6)","(0.4, 4.2, -34.6)","(31.4, 5.2, -34.0)","(-31.4, 3.1, -35.1)","(0.1, -0.3, 0.9)","(0.1, -0.3, 0.9)","(0.1, -0.3, 0.9)",0,0,0,0,0,0,True,"(0.0, 0.0, 0.0)","(-0.1, -0.3, 0.9)",Player (UnityEngine.CharacterController),8.66215,"(0.9, 0.0, -0.5)","(0.3, 2.0, -0.2)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0, 1.0)","(0.2, 6.2, -7.7)","(0.1, 0.0, 0.0, 1.0)"
0,114023.6,3,31,31,0,1,1,0,3.020218,2.983551,"(0.0, 0.0)","(0.5, 0.4)","(0.6, 0.5)","(0.4, 5.6, -33.3)","(31.1, 6.7, -32.7)","(-31.6, 4.5, -34.0)","(0.0, 0.0, 1.0)","(0.0, 0.0, 1.0)","(0.0, 0.0, 1.0)",0.4251588,0.4251588,0,0,0,0,False,0,0,0,0,0,0,0,0,"(0.2, 6.2, -7.7)","(0.1, 0.0, 0.0, 1.0)"
0,114043.8,3,31,31,0,1,1,0,3.009689,2.961868,"(0.0, 0.0)","(0.5, 0.4)","(0.6, 0.5)","(0.8, 5.6, -33.3)","(31.1, 6.7, -32.7)","(-31.6, 4.5, -34.0)","(0.0, 0.0, 1.0)","(0.0, 0.0, 1.0)","(0.0, 0.0, 1.0)",0.4251322,0.4251322,0,0,0,0,False,0,0,0,0,0,0,0,0,"(0.2, 6.2, -7.7)","(0.1, 0.0, 0.0, 1.0)"
0,114067.2,3,31,31,0,1,1,0,2.974396,2.947479,"(0.0, 0.0)","(0.5, 0.4)","(0.6, 0.5)","(0.7, 5.6, -33.3)","(31.1, 6.7, -32.7)","(-31.6, 4.6, -34.0)","(0.0, 0.0, 1.0)","(0.0, 0.0, 1.0)","(0.0, 0.0, 1.0)",0.4087031,0.4087031,0,0,0,0,False,0,0,0,0,0,0,0,0,"(0.2, 6.2, -7.7)","(0.1, 0.0, 0.0, 1.0)"
0,114087.5,3,31,31,0,1,1,0,2.955856,2.944168,"(0.0, 0.0)","(0.5, 0.4)","(0.6, 0.5)","(0.0, 5.6, -33.3)","(31.1, 6.7, -32.7)","(-31.6, 4.6, -34.0)","(0.0, 0.0, 1.0)","(0.0, 0.0, 1.0)","(0.0, 0.0, 1.0)",0.4186474,0.4186474,0,0,0,0,False,0,0,0,0,0,0,0,0,"(0.2, 6.2, -7.6)","(0.1, 0.0, 0.0, 1.0)"
0,114107,3,31,31,0,1,1,0,2.949478,2.940033,"(0.0, 0.0)","(0.5, 0.4)","(0.6, 0.5)","(-0.7, 5.6, -33.3)","(31.1, 6.7, -32.7)","(-31.6, 4.6, -34.0)","(0.0, 0.0, 1.0)","(0.0, 0.0, 1.0)","(0.0, 0.0, 1.0)",0.4354976,0.4354976,0,0,0,0,False,0,0,0,0,0,0,0,0,"(0.2, 6.2, -7.6)","(0.1, 0.0, 0.0, 1.0)"
0,114126.6,3,31,31,0,1,1,0,2.945602,2.939636,"(0.0, 0.0)","(0.5, 0.4)","(0.6, 0.5)","(-1.3, 5.6, -33.4)","(31.1, 6.7, -32.7)","(-31.6, 4.6, -34.0)","(0.0, 0.0, 1.0)","(0.0, 0.0, 1.0)","(0.0, 0.0, 1.0)",0.4370236,0.4370236,0,0,0,0,False,0,0,0,0,0,0,0,0,"(0.2, 6.2, -7.5)","(0.1, 0.0, 0.0, 1.0)"
0,114145.5,3,31,31,0,1,1,0,2.946106,2.935013,"(0.0, 0.0)","(0.5, 0.4)","(0.6, 0.5)","(-2.4, 5.5, -33.4)","(31.1, 6.7, -32.7)","(-31.6, 4.6, -34.0)","(0.0, 0.0, 1.0)","(0.0, 0.0, 1.0)","(0.0, 0.0, 1.0)",0.4299489,0.4299489,0,0,0,0,False,0,0,0,0,0,0,0,0,"(0.2, 6.2, -7.4)","(0.1, 0.0, 0.0, 1.0)"
0,114166,3,31,31,0,1,1,0,2.940704,2.935028,"(0.0, 0.0)","(0.5, 0.4)","(0.6, 0.5)","(-2.6, 5.5, -33.4)","(31.1, 6.7, -32.7)","(-31.6, 4.6, -34.0)","(0.0, 0.0, 1.0)","(0.0, 0.0, 1.0)","(0.0, 0.0, 1.0)",0.4328501,0.4328501,0,0,0,0,False,0,0,0,0,0,0,0,0,"(0.2, 6.2, -7.3)","(0.1, 0.0, 0.0, 1.0)"
0,114185.1,3,31,31,0,1,1,0,2.941101,2.919983,"(0.0, 0.0)","(0.5, 0.4)","(0.6, 0.5)","(0.1, 5.6, -33.3)","(31.1, 6.7, -32.7)","(-31.6, 4.6, -34.0)","(0.0, 0.0, 1.0)","(0.0, 0.0, 1.0)","(0.0, 0.0, 1.0)",0.4245416,0.4245416,0,0,0,0,False,0,0,0,0,0,0,0,0,"(0.2, 6.2, -7.2)","(0.1, 0.0, 0.0, 1.0)"
