GtecTime,UnityTime,CombinedEyeValidDataBitMask,LeftEyeValidDataBitMask,RightEyeValidDataBitMask,CombinedEyeOpenness,LeftEyeOpenness,RightEyeOpenness,CombinedPupilDiameter,LeftPupilDiameter,RightPupilDiameter,CombinedPupilPosition,LeftPupilPosition,RightPupilPosition,CombinedGazeOrigin,LeftGazeOrigin,RightGazeOrigin,CombinedGazeDirection,LeftGazeDirection,RightGazeDirection,LeftEyeWide,RightEyeWide,LeftEyeSqeeze,RightEyeSqeeze,LeftEyeFrown,RightEyeFrown,FocusStatus,RayOriginal,RayDirection,Collider,Distance,Normal,Point,Transform.position,Transform.rotation,Camera.position,Camera.rotation
0,571040.1,3,31,31,0,0.8965175,0.8892203,0,2.72197,2.816589,"(0.0, 0.0)","(0.4, 0.5)","(0.5, 0.4)","(-1.4, 6.5, -37.1)","(34.4, 5.4, -37.1)","(-30.6, 7.4, -37.2)","(0.0, -0.3, 1.0)","(0.0, -0.3, 1.0)","(0.0, -0.3, 1.0)",0,0,0,0,0,0,True,"(0.0, 0.0, 0.0)","(0.0, -0.3, 1.0)",Player (UnityEngine.CharacterController),8.817439,"(-0.2, 0.0, -1.0)","(-0.1, 2.1, -0.3)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0, 1.0)","(0.0, 7.1, -7.6)","(0.2, 0.0, 0.0, 1.0)"
0,576079.4,3,31,31,0,1,1,0,2.538834,2.727875,"(0.0, 0.0)","(0.4, 0.5)","(0.5, 0.4)","(-0.3, 6.2, -37.1)","(34.4, 5.2, -37.1)","(-30.8, 7.1, -37.2)","(0.0, -0.1, 1.0)","(0.0, -0.1, 1.0)","(0.0, -0.1, 1.0)",0.3531334,0.3531334,0,0,0,0,False,0,0,0,0,0,0,0,0,"(0.0, 7.1, -7.6)","(0.2, 0.0, 0.0, 1.0)"
0,576097.4,3,31,31,0,1,1,0,2.544907,2.758057,"(0.0, 0.0)","(0.4, 0.5)","(0.5, 0.4)","(11.9, 5.8, -37.2)","(34.4, 5.2, -37.1)","(-30.8, 7.1, -37.3)","(0.0, -0.1, 1.0)","(0.0, -0.1, 1.0)","(0.0, -0.1, 1.0)",0.3572196,0.3572196,0,0,0,0,False,0,0,0,0,0,0,0,0,"(0.0, 7.1, -7.6)","(0.2, 0.0, 0.0, 1.0)"
0,576115.9,3,31,31,0,1,1,0,2.563431,2.810211,"(0.0, 0.0)","(0.4, 0.5)","(0.5, 0.4)","(12.2, 5.8, -37.2)","(34.4, 5.2, -37.1)","(-30.8, 7.1, -37.2)","(0.0, -0.1, 1.0)","(0.0, -0.1, 1.0)","(0.0, -0.1, 1.0)",0.3489524,0.3489524,0,0,0,0,False,0,0,0,0,0,0,0,0,"(0.0, 7.1, -7.5)","(0.2, 0.0, 0.0, 1.0)"
0,576137.6,3,31,31,0,1,1,0,2.584503,2.801331,"(0.0, 0.0)","(0.4, 0.5)","(0.5, 0.4)","(4.2, 6.1, -37.1)","(34.3, 5.1, -37.0)","(-30.8, 7.1, -37.3)","(0.0, -0.1, 1.0)","(0.0, -0.1, 1.0)","(0.0, -0.1, 1.0)",0.3438522,0.3438522,0,0,0,0,True,"(0.0, 0.0, 0.0)","(0.0, -0.1, 1.0)",Player (UnityEngine.CharacterController),8.997442,"(-0.1, 1.0, 0.2)","(0.0, 3.1, 0.6)","(0.0, 0.0, 0.9)","(0.0, 0.0, 0.0, 1.0)","(0.0, 7.1, -7.4)","(0.2, 0.0, 0.0, 1.0)"
0,576157.5,3,31,31,0,1,1,0,2.588074,2.799316,"(0.0, 0.0)","(0.4, 0.5)","(0.5, 0.4)","(-6.7, 6.4, -37.2)","(34.3, 5.1, -36.9)","(-30.8, 7.2, -37.4)","(0.0, -0.1, 1.0)","(0.0, -0.1, 1.0)","(0.0, -0.1, 1.0)",0.3224632,0.3224632,0,0,0,0,True,"(0.0, 0.0, 0.0)","(0.0, -0.1, 1.0)",Player (UnityEngine.CharacterController),9.040875,"(-0.1, 0.9, -0.4)","(0.0, 3.1, 0.8)","(0.0, 0.0, 1.2)","(0.0, 0.0, 0.0, 1.0)","(0.0, 7.1, -7.3)","(0.2, 0.0, 0.0, 1.0)"
0,576177.6,3,31,31,0,1,1,0,2.609695,2.798889,"(0.0, 0.0)","(0.4, 0.5)","(0.5, 0.4)","(-10.5, 6.5, -37.2)","(34.3, 5.1, -36.9)","(-30.8, 7.2, -37.4)","(0.0, -0.1, 1.0)","(0.0, -0.1, 1.0)","(0.0, -0.1, 1.0)",0.306935,0.306935,0,0,0,0,True,"(0.0, 0.0, 0.0)","(0.0, -0.1, 1.0)",Player (UnityEngine.CharacterController),9.14564,"(-0.1, 0.7, -0.7)","(0.0, 3.0, 1.0)","(0.0, 0.0, 1.5)","(0.0, 0.0, 0.0, 1.0)","(0.0, 7.1, -7.2)","(0.2, 0.0, 0.0, 1.0)"
0,576196.4,3,31,31,0,1,1,0,2.617477,2.802917,"(0.0, 0.0)","(0.4, 0.5)","(0.5, 0.4)","(-1.2, 6.2, -37.2)","(34.3, 5.1, -36.9)","(-30.8, 7.2, -37.4)","(0.0, -0.1, 1.0)","(0.0, -0.1, 1.0)","(0.0, -0.1, 1.0)",0.3102189,0.3102189,0,0,0,0,True,"(0.0, 0.0, 0.0)","(0.0, -0.1, 1.0)",Player (UnityEngine.CharacterController),9.280156,"(-0.1, 0.6, -0.8)","(0.0, 3.0, 1.2)","(0.0, 0.0, 1.8)","(0.0, 0.0, 0.0, 1.0)","(0.0, 7.1, -7.1)","(0.2, 0.0, 0.0, 1.0)"
0,576216.4,3,31,31,0,1,1,0,2.677414,2.80397,"(0.0, 0.0)","(0.4, 0.5)","(0.5, 0.4)","(-4.9, 6.4, -37.3)","(34.3, 5.2, -37.2)","(-30.8, 7.2, -37.4)","(0.0, -0.1, 1.0)","(0.0, -0.1, 1.0)","(0.0, -0.1, 1.0)",0.2965272,0.2965272,0,0,0,0,True,"(0.0, 0.0, 0.0)","(0.0, -0.1, 1.0)",Player (UnityEngine.CharacterController),9.388862,"(-0.1, 0.4, -0.9)","(0.0, 2.9, 1.5)","(0.0, 0.0, 2.1)","(0.0, 0.0, 0.0, 1.0)","(0.0, 7.1, -6.9)","(0.2, 0.0, 0.0, 1.0)"
0,576237.6,3,31,31,0,1,1,0,2.604767,2.798782,"(0.0, 0.0)","(0.4, 0.5)","(0.5, 0.4)","(-28.9, 7.1, -37.3)","(34.3, 5.3, -37.3)","(-30.8, 7.2, -37.3)","(0.0, -0.1, 1.0)","(0.0, -0.1, 1.0)","(0.0, -0.1, 1.0)",0.2980445,0.2980445,0,0,0,0,True,"(0.0, 0.0, 0.0)","(0.0, -0.1, 1.0)",Player (UnityEngine.CharacterController),9.515872,"(-0.1, 0.3, -0.9)","(0.0, 2.8, 1.8)","(0.0, 0.0, 2.5)","(0.0, 0.0, 0.0, 1.0)","(0.0, 7.1, -6.7)","(0.2, 0.0, 0.0, 1.0)"
