GtecTime,UnityTime,CombinedEyeValidDataBitMask,LeftEyeValidDataBitMask,RightEyeValidDataBitMask,CombinedEyeOpenness,LeftEyeOpenness,RightEyeOpenness,CombinedPupilDiameter,LeftPupilDiameter,RightPupilDiameter,CombinedPupilPosition,LeftPupilPosition,RightPupilPosition,CombinedGazeOrigin,LeftGazeOrigin,RightGazeOrigin,CombinedGazeDirection,LeftGazeDirection,RightGazeDirection,LeftEyeWide,RightEyeWide,LeftEyeSqeeze,RightEyeSqeeze,LeftEyeFrown,RightEyeFrown,FocusStatus,RayOriginal,RayDirection,Collider,Distance,Normal,Point,Transform.position,Transform.rotation,Camera.position,Camera.rotation
0,75827.18,0,8,8,0,0,0,0,-1,-1,"(0.0, 0.0)","(-1.0, -1.0)","(-1.0, -1.0)","(-1.0, -1.0, -1.0)","(31.5, 7.0, -26.8)","(-32.1, 5.0, -27.5)","(-1.0, -1.0, -1.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)",0,0,0,0,0,0,False,0,0,0,0,0,0,0,0,"(0.0, 7.1, -7.6)","(0.1, 0.1, 0.0, 1.0)"
0,80891.29,3,31,31,0,1,1,0,3.851486,3.894333,"(0.0, 0.0)","(0.5, 0.4)","(0.5, 0.4)","(-30.9, 4.8, -27.1)","(32.2, 5.3, -26.5)","(-31.2, 4.8, -27.1)","(0.1, 0.0, 1.0)","(0.1, 0.0, 1.0)","(0.1, 0.0, 1.0)",0.2316813,0.2316813,0,0,0,0,True,"(0.0, 0.0, 0.0)","(-0.1, 0.0, 1.0)",Monster1(Clone) (UnityEngine.CapsuleCollider),16.12999,"(-0.3, 0.3, -0.9)","(-0.5, 4.1, 8.2)","(0.0, 0.0, 10.0)","(0.0, 1.0, 0.0, 0.0)","(0.0, 7.1, -7.6)","(0.1, 0.1, 0.0, 1.0)"
0,80916.05,3,31,31,0,1,1,0,3.787064,3.841003,"(0.0, 0.0)","(0.5, 0.4)","(0.5, 0.4)","(-29.4, 4.7, -26.8)","(32.3, 5.2, -26.6)","(-31.2, 4.7, -26.8)","(0.1, 0.0, 1.0)","(0.1, 0.0, 1.0)","(0.1, 0.0, 1.0)",0.2638552,0.2638552,0,0,0,0,True,"(0.0, 0.0, 0.0)","(-0.1, 0.0, 1.0)",Monster1(Clone) (UnityEngine.CapsuleCollider),16.10124,"(-0.2, 0.4, -0.9)","(-0.5, 4.2, 8.2)","(0.0, 0.0, 10.0)","(0.0, 1.0, 0.0, 0.0)","(0.0, 7.1, -7.6)","(0.1, 0.1, 0.0, 1.0)"
0,80938.82,3,31,31,0,1,1,0,3.794098,3.840118,"(0.0, 0.0)","(0.5, 0.4)","(0.5, 0.4)","(-27.6, 4.8, -26.9)","(32.4, 5.2, -26.7)","(-31.2, 4.7, -27.0)","(0.1, 0.0, 1.0)","(0.1, 0.0, 1.0)","(0.1, 0.0, 1.0)",0.29213,0.29213,0,0,0,0,True,"(0.0, 0.0, 0.0)","(-0.1, 0.0, 1.0)",Monster1(Clone) (UnityEngine.CapsuleCollider),16.05852,"(-0.2, 0.4, -0.9)","(-0.4, 4.2, 8.2)","(0.0, 0.0, 10.0)","(0.0, 1.0, 0.0, 0.0)","(0.0, 7.1, -7.6)","(0.1, 0.1, 0.0, 1.0)"
0,80957.03,3,31,31,0,1,1,0,3.79631,3.839569,"(0.0, 0.0)","(0.5, 0.4)","(0.5, 0.4)","(3.0, 5.0, -26.8)","(32.4, 5.2, -26.7)","(-31.2, 4.7, -27.0)","(0.1, 0.0, 1.0)","(0.1, 0.0, 1.0)","(0.1, 0.0, 1.0)",0.3144538,0.3144538,0,0,0,0,True,"(0.0, 0.0, 0.0)","(-0.1, 0.0, 1.0)",Monster1(Clone) (UnityEngine.CapsuleCollider),16.03761,"(-0.2, 0.4, -0.9)","(-0.4, 4.2, 8.2)","(0.0, 0.0, 10.1)","(0.0, 1.0, 0.0, 0.0)","(0.0, 7.1, -7.5)","(0.1, 0.1, 0.0, 1.0)"
0,80978.3,3,31,31,0,1,1,0,3.804489,3.840134,"(0.0, 0.0)","(0.5, 0.4)","(0.5, 0.4)","(10.3, 5.1, -26.8)","(32.4, 5.2, -26.7)","(-31.2, 4.7, -27.0)","(0.1, 0.0, 1.0)","(0.1, 0.0, 1.0)","(0.1, 0.0, 1.0)",0.3187803,0.3187803,0,0,0,0,True,"(0.0, 0.0, 0.0)","(-0.1, 0.0, 1.0)",Monster1(Clone) (UnityEngine.CapsuleCollider),16.02423,"(-0.2, 0.4, -0.9)","(-0.4, 4.2, 8.3)","(0.0, 0.0, 10.1)","(0.0, 1.0, 0.0, 0.0)","(0.0, 7.1, -7.4)","(0.1, 0.1, 0.0, 1.0)"
0,80997.05,3,31,31,0,1,1,0,3.808456,3.845459,"(0.0, 0.0)","(0.5, 0.4)","(0.5, 0.4)","(6.2, 5.0, -26.8)","(32.4, 5.2, -26.7)","(-31.2, 4.7, -26.9)","(0.1, 0.0, 1.0)","(0.1, 0.0, 1.0)","(0.1, 0.0, 1.0)",0.3275045,0.3275045,0,0,0,0,True,"(0.0, 0.0, 0.0)","(-0.1, 0.0, 1.0)",Monster1(Clone) (UnityEngine.CapsuleCollider),16.02053,"(-0.2, 0.4, -0.9)","(-0.4, 4.2, 8.4)","(0.0, 0.0, 10.2)","(0.0, 1.0, 0.0, 0.0)","(0.0, 7.1, -7.4)","(0.1, 0.1, 0.0, 1.0)"
0,81015.59,3,31,31,0,1,1,0,3.808624,3.843597,"(0.0, 0.0)","(0.5, 0.4)","(0.5, 0.4)","(3.9, 5.0, -26.8)","(32.4, 5.2, -26.7)","(-31.3, 4.7, -26.9)","(0.1, 0.0, 1.0)","(0.1, 0.0, 1.0)","(0.1, 0.0, 1.0)",0.3124731,0.3124731,0,0,0,0,True,"(0.0, 0.0, 0.0)","(-0.1, 0.0, 1.0)",Monster1(Clone) (UnityEngine.CapsuleCollider),16.01687,"(-0.2, 0.4, -0.9)","(-0.4, 4.2, 8.5)","(0.0, 0.0, 10.3)","(0.0, 1.0, 0.0, 0.0)","(0.0, 7.1, -7.3)","(0.1, 0.1, 0.0, 1.0)"
0,81036.06,3,31,31,0,1,1,0,3.808929,3.844376,"(0.0, 0.0)","(0.5, 0.4)","(0.5, 0.4)","(9.3, 5.0, -26.7)","(32.4, 5.2, -26.7)","(-31.3, 4.7, -26.8)","(0.1, 0.0, 1.0)","(0.1, 0.0, 1.0)","(0.1, 0.0, 1.0)",0.3231183,0.3231183,0,0,0,0,True,"(0.0, 0.0, 0.0)","(-0.1, 0.0, 1.0)",Monster1(Clone) (UnityEngine.CapsuleCollider),16.00983,"(-0.2, 0.4, -0.9)","(-0.4, 4.2, 8.6)","(0.0, 0.0, 10.4)","(0.0, 1.0, 0.0, 0.0)","(0.0, 7.1, -7.2)","(0.1, 0.1, 0.0, 1.0)"
0,81055.31,3,31,31,0,1,1,0,3.81839,3.846497,"(0.0, 0.0)","(0.5, 0.4)","(0.5, 0.4)","(13.5, 5.1, -26.7)","(32.4, 5.2, -26.7)","(-31.3, 4.7, -26.8)","(0.1, 0.0, 1.0)","(0.1, 0.0, 1.0)","(0.1, 0.0, 1.0)",0.3298417,0.3298417,0,0,0,0,True,"(0.0, 0.0, 0.0)","(-0.1, 0.0, 1.0)",Monster1(Clone) (UnityEngine.CapsuleCollider),15.99446,"(-0.2, 0.4, -0.9)","(-0.4, 4.2, 8.7)","(0.0, 0.0, 10.5)","(0.0, 1.0, 0.0, 0.0)","(0.0, 7.1, -7.0)","(0.1, 0.1, 0.0, 1.0)"
