GtecTime,UnityTime,CombinedEyeValidDataBitMask,LeftEyeValidDataBitMask,RightEyeValidDataBitMask,CombinedEyeOpenness,LeftEyeOpenness,RightEyeOpenness,CombinedPupilDiameter,LeftPupilDiameter,RightPupilDiameter,CombinedPupilPosition,LeftPupilPosition,RightPupilPosition,CombinedGazeOrigin,LeftGazeOrigin,RightGazeOrigin,CombinedGazeDirection,LeftGazeDirection,RightGazeDirection,LeftEyeWide,RightEyeWide,LeftEyeSqeeze,RightEyeSqeeze,LeftEyeFrown,RightEyeFrown,FocusStatus,RayOriginal,RayDirection,Collider,Distance,Normal,Point,Transform.position,Transform.rotation,Camera.position,Camera.rotation
0,814603.6,3,31,31,0,1,1,0,2.050217,1.928619,"(0.0, 0.0)","(0.7, 0.4)","(0.5, 0.4)","(-13.3, 7.9, -35.8)","(27.1, 6.1, -27.7)","(-30.6, 8.6, -39.3)","(0.1, -0.3, 0.9)","(0.0, -0.3, 0.9)","(0.1, -0.4, 0.9)",0.0604126,0.0604126,0,0,0,0,False,0,0,0,0,0,0,0,0,"(0.0, 7.1, -7.4)","(0.1, 0.1, 0.0, 1.0)"
0,819744.3,3,31,31,0,0.9595214,0.9346518,0,2.291718,2.630081,"(0.0, 0.0)","(0.7, 0.4)","(0.5, 0.4)","(-18.6, 8.9, -38.3)","(26.9, 9.6, -40.0)","(-31.0, 8.8, -37.8)","(0.1, -0.2, 1.0)","(0.0, -0.2, 1.0)","(0.1, -0.2, 1.0)",0,0,0,0,0,0,False,0,0,0,0,0,0,0,0,"(-3.5, 8.9, -12.9)","(-0.1, 0.2, 0.1, 1.0)"
0,819771.8,3,31,31,0,0.9671767,0.9306294,0,2.291794,2.643585,"(0.0, 0.0)","(0.7, 0.4)","(0.5, 0.4)","(-18.3, 8.9, -38.3)","(26.9, 9.6, -40.0)","(-31.0, 8.8, -37.8)","(0.1, -0.2, 1.0)","(0.0, -0.2, 1.0)","(0.1, -0.2, 1.0)",0,0,0,0,0,0,False,0,0,0,0,0,0,0,0,"(-3.5, 8.9, -12.8)","(-0.1, 0.2, 0.1, 1.0)"
0,819791.5,3,31,31,0,0.9720361,0.9394162,0,2.298019,2.643509,"(0.0, 0.0)","(0.7, 0.4)","(0.5, 0.4)","(-18.2, 8.9, -38.3)","(26.9, 9.6, -40.0)","(-31.0, 8.8, -37.8)","(0.1, -0.2, 1.0)","(0.0, -0.2, 1.0)","(0.1, -0.2, 1.0)",0,0,0,0,0,0,False,0,0,0,0,0,0,0,0,"(-3.5, 8.9, -12.8)","(-0.1, 0.2, 0.1, 1.0)"
0,819812.3,3,31,31,0,0.9511899,0.9274946,0,2.300293,2.637192,"(0.0, 0.0)","(0.7, 0.4)","(0.5, 0.4)","(-18.4, 8.9, -38.3)","(26.9, 9.6, -40.0)","(-31.0, 8.8, -37.8)","(0.1, -0.2, 1.0)","(0.0, -0.2, 1.0)","(0.1, -0.2, 1.0)",0,0,0,0,0,0,False,0,0,0,0,0,0,0,0,"(-3.5, 8.9, -12.7)","(-0.1, 0.2, 0.1, 1.0)"
0,819833.4,3,31,31,0,0.9562701,0.9324809,0,2.330673,2.63739,"(0.0, 0.0)","(0.7, 0.4)","(0.5, 0.4)","(-16.7, 9.0, -38.4)","(26.9, 9.6, -40.0)","(-31.0, 8.8, -37.8)","(0.1, -0.2, 1.0)","(0.0, -0.2, 1.0)","(0.1, -0.2, 1.0)",0,0,0,0,0,0,False,0,0,0,0,0,0,0,0,"(-3.5, 8.9, -12.6)","(-0.1, 0.2, 0.1, 1.0)"
0,819853.1,3,31,31,0,0.9558868,0.944136,0,2.330032,2.637268,"(0.0, 0.0)","(0.7, 0.4)","(0.5, 0.4)","(-18.7, 8.9, -38.3)","(26.9, 9.6, -40.0)","(-31.0, 8.8, -37.8)","(0.1, -0.2, 1.0)","(0.0, -0.2, 1.0)","(0.1, -0.2, 1.0)",0,0,0,0,0,0,False,0,0,0,0,0,0,0,0,"(-3.5, 8.9, -12.4)","(-0.1, 0.2, 0.1, 1.0)"
0,819873.9,3,31,31,0,0.9774957,0.9409544,0,2.333862,2.644867,"(0.0, 0.0)","(0.7, 0.4)","(0.5, 0.4)","(-18.6, 8.9, -38.3)","(26.9, 9.6, -40.0)","(-31.0, 8.8, -37.8)","(0.1, -0.2, 1.0)","(0.0, -0.2, 1.0)","(0.1, -0.2, 1.0)",0,0,0,0,0,0,False,0,0,0,0,0,0,0,0,"(-3.5, 8.9, -12.3)","(-0.1, 0.2, 0.1, 1.0)"
0,819894.8,3,31,31,0,0.9650434,0.9339426,0,2.333954,2.644806,"(0.0, 0.0)","(0.7, 0.4)","(0.5, 0.4)","(-18.5, 8.9, -38.3)","(26.9, 9.6, -40.0)","(-31.0, 8.8, -37.8)","(0.1, -0.2, 1.0)","(0.0, -0.2, 1.0)","(0.1, -0.2, 1.0)",0,0,0,0,0,0,False,0,0,0,0,0,0,0,0,"(-3.5, 8.9, -12.1)","(-0.1, 0.2, 0.1, 1.0)"
0,819917.8,3,31,31,0,0.9779658,0.9496175,0,2.351624,2.654282,"(0.0, 0.0)","(0.7, 0.4)","(0.5, 0.4)","(-18.6, 8.9, -38.3)","(26.9, 9.6, -40.0)","(-31.0, 8.8, -37.8)","(0.1, -0.2, 1.0)","(0.0, -0.2, 1.0)","(0.1, -0.2, 1.0)",0,0,0,0,0,0,False,0,0,0,0,0,0,0,0,"(-3.5, 8.9, -11.9)","(-0.1, 0.2, 0.1, 1.0)"
0,819938.4,3,31,31,0,0.9694203,0.9405681,0,2.35437,2.687775,"(0.0, 0.0)","(0.7, 0.4)","(0.5, 0.4)","(-18.5, 8.9, -38.3)","(26.9, 9.6, -40.0)","(-31.0, 8.8, -37.8)","(0.1, -0.2, 1.0)","(0.0, -0.2, 1.0)","(0.1, -0.2, 1.0)",0,0,0,0,0,0,False,0,0,0,0,0,0,0,0,"(-3.5, 8.9, -11.7)","(-0.1, 0.2, 0.1, 1.0)"
0,819958.1,3,31,31,0,0.9634568,0.9356092,0,2.35173,2.701141,"(0.0, 0.0)","(0.7, 0.4)","(0.5, 0.4)","(-18.5, 8.9, -38.3)","(26.9, 9.6, -40.0)","(-31.0, 8.8, -37.8)","(0.1, -0.2, 1.0)","(0.0, -0.2, 1.0)","(0.1, -0.2, 1.0)",0,0,0,0,0,0,False,0,0,0,0,0,0,0,0,"(-3.5, 8.9, -11.5)","(-0.1, 0.2, 0.1, 1.0)"
0,819980.1,3,31,31,0,0.9859684,0.9378163,0,2.351791,2.712067,"(0.0, 0.0)","(0.7, 0.4)","(0.5, 0.4)","(-18.7, 8.9, -38.3)","(26.9, 9.6, -40.0)","(-31.0, 8.8, -37.8)","(0.1, -0.2, 1.0)","(0.0, -0.2, 1.0)","(0.1, -0.2, 1.0)",0,0,0,0,0,0,False,0,0,0,0,0,0,0,0,"(-3.5, 8.9, -11.3)","(-0.1, 0.2, 0.1, 1.0)"
