GtecTime,UnityTime,CombinedEyeValidDataBitMask,LeftEyeValidDataBitMask,RightEyeValidDataBitMask,CombinedEyeOpenness,LeftEyeOpenness,RightEyeOpenness,CombinedPupilDiameter,LeftPupilDiameter,RightPupilDiameter,CombinedPupilPosition,LeftPupilPosition,RightPupilPosition,CombinedGazeOrigin,LeftGazeOrigin,RightGazeOrigin,CombinedGazeDirection,LeftGazeDirection,RightGazeDirection,LeftEyeWide,RightEyeWide,LeftEyeSqeeze,RightEyeSqeeze,LeftEyeFrown,RightEyeFrown,FocusStatus,RayOriginal,RayDirection,Collider,Distance,Normal,Point,Transform.position,Transform.rotation,Camera.position,Camera.rotation
0,1700048,3,31,31,0,1,1,0,3.41301,3.185715,"(0.0, 0.0)","(0.5, 0.3)","(0.4, 0.4)","(-18.9, 9.0, -36.4)","(31.4, 10.6, -34.5)","(-28.8, 8.7, -36.8)","(0.3, 0.0, 0.9)","(0.2, -0.2, 1.0)","(0.4, 0.0, 0.9)",0.3535151,0.3535151,0,0,0,0,True,"(0.0, 0.0, 0.0)","(-0.3, 0.0, 0.9)",Player (UnityEngine.CharacterController),3.544162,"(0.1, 0.8, 0.6)","(0.0, 3.0, 0.2)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0, 1.0)","(-0.2, 3.9, 3.6)","(0.0, -1.0, 0.1, 0.1)"
0,1705090,3,31,31,0,1,1,0,3.57077,3.183548,"(0.0, 0.0)","(0.6, 0.3)","(0.5, 0.4)","(-29.9, 8.6, -36.1)","(30.3, 10.8, -35.4)","(-30.0, 8.6, -36.1)","(0.1, -0.1, 1.0)","(0.0, -0.2, 1.0)","(0.1, -0.1, 1.0)",0.09383068,0.09383068,0,0,0,0,False,0,0,0,0,0,0,0,0,"(0.0, 7.2, -7.4)","(0.1, 0.0, 0.0, 1.0)"
0,1705108,3,31,31,0,1,1,0,3.589355,3.191849,"(0.0, 0.0)","(0.6, 0.3)","(0.5, 0.4)","(-27.9, 8.6, -36.0)","(30.3, 10.9, -35.4)","(-30.0, 8.5, -36.0)","(0.1, -0.1, 1.0)","(0.0, -0.2, 1.0)","(0.1, -0.1, 1.0)",0.1135825,0.1135825,0,0,0,0,False,0,0,0,0,0,0,0,0,"(0.0, 7.2, -7.4)","(0.1, 0.0, 0.0, 1.0)"
0,1705128,3,31,31,0,1,1,0,3.591187,3.193192,"(0.0, 0.0)","(0.6, 0.3)","(0.5, 0.4)","(-24.2, 8.8, -35.9)","(30.3, 10.9, -35.4)","(-30.0, 8.5, -36.0)","(0.1, -0.1, 1.0)","(0.0, -0.2, 1.0)","(0.1, -0.1, 1.0)",0.1183084,0.1183084,0,0,0,0,False,0,0,0,0,0,0,0,0,"(0.0, 7.2, -7.3)","(0.1, 0.0, 0.0, 1.0)"
0,1705147,3,31,31,0,1,1,0,3.611923,3.197144,"(0.0, 0.0)","(0.6, 0.3)","(0.5, 0.4)","(-10.0, 9.3, -35.8)","(30.3, 10.8, -35.3)","(-30.0, 8.5, -36.0)","(0.0, -0.1, 1.0)","(0.0, -0.2, 1.0)","(0.1, -0.1, 1.0)",0.116527,0.116527,0,0,0,0,False,0,0,0,0,0,0,0,0,"(0.0, 7.2, -7.1)","(0.1, 0.0, 0.0, 1.0)"
0,1705165,3,31,31,0,1,1,0,3.656952,3.211823,"(0.0, 0.0)","(0.6, 0.3)","(0.5, 0.4)","(-20.3, 8.9, -35.9)","(30.3, 10.8, -35.3)","(-30.0, 8.5, -36.0)","(0.1, -0.1, 1.0)","(0.0, -0.2, 1.0)","(0.1, -0.1, 1.0)",0.131347,0.131347,0,0,0,0,False,0,0,0,0,0,0,0,0,"(0.0, 7.2, -6.9)","(0.1, 0.0, 0.0, 1.0)"
0,1705186,3,31,31,0,1,1,0,3.634262,3.217926,"(0.0, 0.0)","(0.6, 0.3)","(0.5, 0.4)","(-21.6, 8.8, -35.9)","(30.3, 10.8, -35.3)","(-30.0, 8.5, -36.0)","(0.0, -0.1, 1.0)","(0.0, -0.2, 1.0)","(0.1, -0.1, 1.0)",0.1320834,0.1320834,0,0,0,0,False,0,0,0,0,0,0,0,0,"(0.0, 7.2, -6.7)","(0.1, 0.0, 0.0, 1.0)"
0,1705207,3,31,31,0,1,1,0,3.662323,3.218689,"(0.0, 0.0)","(0.6, 0.3)","(0.5, 0.4)","(-26.4, 8.7, -35.9)","(30.3, 10.8, -35.1)","(-30.0, 8.5, -35.9)","(0.0, -0.1, 1.0)","(0.0, -0.2, 1.0)","(0.1, -0.1, 1.0)",0.1270283,0.1270283,0,0,0,0,False,0,0,0,0,0,0,0,0,"(0.0, 7.2, -6.4)","(0.1, 0.0, 0.0, 1.0)"
0,1705224,3,31,31,0,1,1,0,3.651657,3.22052,"(0.0, 0.0)","(0.6, 0.3)","(0.5, 0.4)","(-26.8, 8.6, -35.8)","(30.3, 10.8, -35.1)","(-30.0, 8.5, -35.9)","(0.1, -0.1, 1.0)","(0.0, -0.2, 1.0)","(0.1, -0.1, 1.0)",0.1312525,0.1312525,0,0,0,0,False,0,0,0,0,0,0,0,0,"(0.0, 7.2, -6.2)","(0.1, 0.0, 0.0, 1.0)"
0,1705243,3,31,31,0,1,1,0,3.651642,3.224274,"(0.0, 0.0)","(0.6, 0.3)","(0.5, 0.4)","(-24.3, 8.7, -35.8)","(30.3, 10.8, -35.1)","(-30.0, 8.5, -35.9)","(0.0, -0.1, 1.0)","(0.0, -0.2, 1.0)","(0.0, -0.1, 1.0)",0.1306204,0.1306204,0,0,0,0,False,0,0,0,0,0,0,0,0,"(0.0, 7.2, -5.8)","(0.1, 0.0, 0.0, 1.0)"
