GtecTime,UnityTime,CombinedEyeValidDataBitMask,LeftEyeValidDataBitMask,RightEyeValidDataBitMask,CombinedEyeOpenness,LeftEyeOpenness,RightEyeOpenness,CombinedPupilDiameter,LeftPupilDiameter,RightPupilDiameter,CombinedPupilPosition,LeftPupilPosition,RightPupilPosition,CombinedGazeOrigin,LeftGazeOrigin,RightGazeOrigin,CombinedGazeDirection,LeftGazeDirection,RightGazeDirection
0,13-54-36.463,3,31,31,0,1,1,0,3.761963,3.450897,"(0.0, 0.0)","(0.6, 0.4)","(0.6, 0.5)","(-6.5, 6.3, -35.5)","(31.2, 7.2, -35.7)","(-32.5, 5.7, -35.4)","(-0.2, -0.1, 1.0)","(-0.2, 0.0, 1.0)","(-0.2, -0.1, 1.0)"
0,13-54-41.516,3,31,31,0,1,1,0,3.773941,3.385986,"(0.0, 0.0)","(0.5, 0.4)","(0.5, 0.4)","(-3.2, 7.5, -35.1)","(32.8, 8.6, -35.9)","(-30.9, 6.6, -34.6)","(0.1, -0.1, 1.0)","(0.0, -0.1, 1.0)","(0.1, -0.1, 1.0)"
0,13-54-41.533,3,31,31,0,1,1,0,3.777512,3.366547,"(0.0, 0.0)","(0.5, 0.4)","(0.5, 0.4)","(-3.0, 7.5, -35.2)","(32.8, 8.6, -35.9)","(-30.9, 6.6, -34.6)","(0.1, -0.1, 1.0)","(0.0, -0.1, 1.0)","(0.1, -0.1, 1.0)"
0,13-54-41.546,3,31,31,0,1,1,0,3.774139,3.366669,"(0.0, 0.0)","(0.5, 0.4)","(0.5, 0.4)","(-3.3, 7.5, -35.1)","(32.8, 8.6, -35.9)","(-30.9, 6.6, -34.6)","(0.1, -0.1, 1.0)","(0.0, -0.1, 1.0)","(0.1, -0.1, 1.0)"
0,13-54-41.560,3,31,31,0,1,1,0,3.774292,3.358551,"(0.0, 0.0)","(0.5, 0.4)","(0.5, 0.4)","(-4.2, 7.5, -35.1)","(32.8, 8.6, -35.9)","(-30.9, 6.6, -34.6)","(0.1, -0.1, 1.0)","(0.0, -0.1, 1.0)","(0.1, -0.1, 1.0)"
0,13-54-41.575,3,31,31,0,1,1,0,3.774551,3.358658,"(0.0, 0.0)","(0.5, 0.4)","(0.5, 0.4)","(-5.3, 7.4, -35.1)","(32.8, 8.6, -35.9)","(-30.9, 6.6, -34.6)","(0.1, -0.1, 1.0)","(0.0, -0.1, 1.0)","(0.1, -0.1, 1.0)"
0,13-54-41.589,3,31,31,0,1,1,0,3.775452,3.358459,"(0.0, 0.0)","(0.5, 0.4)","(0.5, 0.4)","(-5.9, 7.4, -35.1)","(32.8, 8.6, -35.8)","(-30.9, 6.6, -34.6)","(0.1, -0.1, 1.0)","(0.0, -0.1, 1.0)","(0.1, -0.1, 1.0)"
0,13-54-41.603,3,31,31,0,1,1,0,3.789749,3.345535,"(0.0, 0.0)","(0.5, 0.4)","(0.5, 0.4)","(-13.1, 7.2, -34.9)","(32.7, 8.6, -35.7)","(-30.9, 6.6, -34.5)","(0.1, -0.1, 1.0)","(0.0, -0.1, 1.0)","(0.1, -0.1, 1.0)"
0,13-54-41.618,3,31,31,0,1,1,0,3.791229,3.33342,"(0.0, 0.0)","(0.5, 0.4)","(0.5, 0.4)","(-20.3, 6.9, -34.7)","(32.7, 8.6, -35.7)","(-31.0, 6.6, -34.5)","(0.1, -0.1, 1.0)","(0.0, -0.1, 1.0)","(0.1, -0.1, 1.0)"
0,13-54-41.632,3,31,31,0,1,1,0,3.773209,3.326065,"(0.0, 0.0)","(0.5, 0.4)","(0.5, 0.4)","(-23.1, 6.9, -34.7)","(32.7, 8.6, -35.6)","(-31.0, 6.6, -34.5)","(0.1, -0.1, 1.0)","(0.0, -0.1, 1.0)","(0.1, -0.1, 1.0)"
