GtecTime,UnityTime,CombinedEyeValidDataBitMask,LeftEyeValidDataBitMask,RightEyeValidDataBitMask,CombinedEyeOpenness,LeftEyeOpenness,RightEyeOpenness,CombinedPupilDiameter,LeftPupilDiameter,RightPupilDiameter,CombinedPupilPosition,LeftPupilPosition,RightPupilPosition,CombinedGazeOrigin,LeftGazeOrigin,RightGazeOrigin,CombinedGazeDirection,LeftGazeDirection,RightGazeDirection,LeftEyeWide,RightEyeWide,LeftEyeSqeeze,RightEyeSqeeze,LeftEyeFrown,RightEyeFrown,FocusStatus,RayOriginal,RayDirection,Collider,Distance,Normal,Point,Transform.position,Transform.rotation,Camera.position,Camera.rotation
0,96716.83,3,25,31,0,1,1,0,-1,3.802399,"(0.0, 0.0)","(0.5, 0.4)","(0.5, 0.4)","(-29.4, 3.5, -25.1)","(33.4, 0.1, -27.2)","(-29.4, 3.5, -25.1)","(-0.4, 0.2, 0.9)","(0.0, 0.0, 0.0)","(-0.4, 0.2, 0.9)",0.7268203,0.7268203,0,0,0,0,False,0,0,0,0,0,0,0,0,"(-0.3, 3.8, 3.4)","(0.0, -1.0, 0.1, 0.2)"
0,101769.6,3,31,31,0,1,1,0,3.571594,3.402664,"(0.0, 0.0)","(0.4, 0.5)","(0.4, 0.5)","(-2.2, -0.9, -20.7)","(34.6, -0.8, -22.3)","(-29.0, -0.9, -19.5)","(0.0, 0.0, 1.0)","(0.0, 0.0, 1.0)","(0.0, 0.0, 1.0)",0.4034337,0.4034337,0,0,0,0,True,"(0.0, 0.0, 0.0)","(0.0, 0.0, 1.0)",Monster1(Clone) (UnityEngine.CapsuleCollider),16.06116,"(0.1, 0.0, -1.0)","(0.1, 2.1, 8.0)","(0.0, 0.0, 10.0)","(0.0, 1.0, 0.0, 0.0)","(0.0, 7.1, -7.3)","(0.2, 0.0, 0.0, 1.0)"
0,101794.2,3,31,31,0,1,1,0,3.567932,3.385971,"(0.0, 0.0)","(0.4, 0.5)","(0.4, 0.5)","(0.6, -0.9, -20.8)","(34.6, -0.9, -22.2)","(-29.0, -0.9, -19.5)","(0.0, 0.0, 1.0)","(0.0, 0.0, 1.0)","(0.0, 0.0, 1.0)",0.4286864,0.4286864,0,0,0,0,True,"(0.0, 0.0, 0.0)","(0.0, 0.0, 1.0)",Monster1(Clone) (UnityEngine.CapsuleCollider),16.04956,"(0.1, 0.0, -1.0)","(0.2, 2.1, 8.0)","(0.0, 0.0, 10.0)","(0.0, 1.0, 0.0, 0.0)","(0.0, 7.1, -7.2)","(0.2, 0.0, 0.0, 1.0)"
0,101814,3,31,31,0,1,1,0,3.566132,3.387039,"(0.0, 0.0)","(0.4, 0.5)","(0.4, 0.5)","(1.9, -0.9, -20.8)","(34.6, -0.9, -22.2)","(-29.0, -0.9, -19.5)","(0.0, 0.0, 1.0)","(0.0, 0.0, 1.0)","(0.0, 0.0, 1.0)",0.4497389,0.4497389,0,0,0,0,True,"(0.0, 0.0, 0.0)","(0.0, 0.0, 1.0)",Monster1(Clone) (UnityEngine.CapsuleCollider),16.05228,"(0.1, 0.0, -1.0)","(0.2, 2.0, 8.0)","(0.0, 0.0, 10.0)","(0.0, 1.0, 0.0, 0.0)","(0.0, 7.1, -7.2)","(0.2, 0.0, 0.0, 1.0)"
0,101832.5,3,31,31,0,1,1,0,3.573547,3.362549,"(0.0, 0.0)","(0.4, 0.5)","(0.4, 0.5)","(0.7, -1.0, -20.8)","(34.6, -1.0, -22.1)","(-29.0, -1.0, -19.5)","(0.0, 0.0, 1.0)","(0.0, 0.0, 1.0)","(0.0, 0.0, 1.0)",0.4619417,0.4619417,0,0,0,0,True,"(0.0, 0.0, 0.0)","(0.0, 0.0, 1.0)",Monster1(Clone) (UnityEngine.CapsuleCollider),15.99907,"(0.1, 0.0, -1.0)","(0.2, 2.2, 8.1)","(0.0, 0.0, 10.1)","(0.0, 1.0, 0.0, 0.0)","(0.0, 7.1, -7.1)","(0.2, 0.0, 0.0, 1.0)"
0,101852.4,3,31,31,0,1,1,0,3.56636,3.358902,"(0.0, 0.0)","(0.4, 0.5)","(0.4, 0.5)","(-4.3, -1.0, -20.5)","(34.6, -1.0, -22.1)","(-29.0, -1.0, -19.5)","(0.0, 0.0, 1.0)","(0.0, 0.0, 1.0)","(0.0, 0.0, 1.0)",0.4706987,0.4706987,0,0,0,0,True,"(0.0, 0.0, 0.0)","(0.0, 0.0, 1.0)",Monster1(Clone) (UnityEngine.CapsuleCollider),15.98604,"(0.0, 0.0, -1.0)","(0.1, 2.1, 8.1)","(0.0, 0.0, 10.1)","(0.0, 1.0, 0.0, 0.0)","(0.0, 7.1, -7.1)","(0.2, 0.0, 0.0, 1.0)"
0,101871.9,3,31,31,0,1,1,0,3.570145,3.356705,"(0.0, 0.0)","(0.4, 0.5)","(0.4, 0.5)","(-2.9, -1.1, -20.6)","(34.6, -1.1, -22.1)","(-29.0, -1.1, -19.5)","(0.0, 0.0, 1.0)","(0.0, 0.0, 1.0)","(0.0, 0.0, 1.0)",0.472126,0.472126,0,0,0,0,True,"(0.0, 0.0, 0.0)","(0.0, 0.0, 1.0)",Monster1(Clone) (UnityEngine.CapsuleCollider),15.95614,"(0.1, 0.0, -1.0)","(0.1, 2.2, 8.2)","(0.0, 0.0, 10.2)","(0.0, 1.0, 0.0, 0.0)","(0.0, 7.1, -7.0)","(0.2, 0.0, 0.0, 1.0)"
0,101892.2,3,31,31,0,1,1,0,3.566711,3.357407,"(0.0, 0.0)","(0.4, 0.5)","(0.4, 0.5)","(2.3, -1.1, -20.8)","(34.6, -1.1, -22.1)","(-29.0, -1.2, -19.5)","(0.0, 0.0, 1.0)","(0.0, 0.0, 1.0)","(0.0, 0.0, 1.0)",0.4816682,0.4816682,0,0,0,0,True,"(0.0, 0.0, 0.0)","(0.0, 0.0, 1.0)",Monster1(Clone) (UnityEngine.CapsuleCollider),15.98523,"(0.1, 0.0, -1.0)","(0.1, 2.1, 8.3)","(0.0, 0.0, 10.3)","(0.0, 1.0, 0.0, 0.0)","(0.0, 7.1, -6.9)","(0.2, 0.0, 0.0, 1.0)"
0,101912.4,3,31,31,0,1,1,0,3.558838,3.355545,"(0.0, 0.0)","(0.4, 0.5)","(0.4, 0.5)","(1.5, -1.2, -20.7)","(34.6, -1.1, -22.1)","(-29.0, -1.2, -19.5)","(0.0, 0.0, 1.0)","(0.0, 0.0, 1.0)","(0.0, 0.0, 1.0)",0.4822785,0.4822785,0,0,0,0,True,"(0.0, 0.0, 0.0)","(0.0, 0.0, 1.0)",Monster1(Clone) (UnityEngine.CapsuleCollider),16.02798,"(0.1, 0.0, -1.0)","(0.2, 1.9, 8.4)","(0.0, 0.0, 10.4)","(0.0, 1.0, 0.0, 0.0)","(0.0, 7.1, -6.8)","(0.2, 0.0, 0.0, 1.0)"
0,101932.1,3,31,31,0,1,1,0,3.563644,3.406723,"(0.0, 0.0)","(0.4, 0.6)","(0.4, 0.5)","(-2.0, -1.4, -20.6)","(34.6, -1.5, -22.1)","(-29.1, -1.3, -19.5)","(0.0, 0.0, 1.0)","(0.0, 0.1, 1.0)","(0.0, 0.0, 1.0)",0.4906433,0.4906433,0,0,0,0,True,"(0.0, 0.0, 0.0)","(0.0, 0.0, 1.0)",Monster1(Clone) (UnityEngine.CapsuleCollider),15.91014,"(0.0, 0.0, -1.0)","(0.1, 2.3, 8.5)","(0.0, 0.0, 10.5)","(0.0, 1.0, 0.0, 0.0)","(0.0, 7.1, -6.7)","(0.2, 0.0, 0.0, 1.0)"
