GtecTime,UnityTime,CombinedEyeValidDataBitMask,LeftEyeValidDataBitMask,RightEyeValidDataBitMask,CombinedEyeOpenness,LeftEyeOpenness,RightEyeOpenness,CombinedPupilDiameter,LeftPupilDiameter,RightPupilDiameter,CombinedPupilPosition,LeftPupilPosition,RightPupilPosition,CombinedGazeOrigin,LeftGazeOrigin,RightGazeOrigin,CombinedGazeDirection,LeftGazeDirection,RightGazeDirection,LeftEyeWide,RightEyeWide,LeftEyeSqeeze,RightEyeSqeeze,LeftEyeFrown,RightEyeFrown,FocusStatus,RayOriginal,RayDirection,Collider,Distance,Normal,Point,Transform.position,Transform.rotation,Camera.position,Camera.rotation
0,35210.98,0,8,8,0,1,1,0,-1,-1,"(0.0, 0.0)","(-1.0, -1.0)","(-1.0, -1.0)","(-1.0, -1.0, -1.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(-1.0, -1.0, -1.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)",0,0,0,0,0,0,False,0,0,0,0,0,0,0,0,"(-0.2, 6.8, -7.9)","(0.1, 0.0, 0.1, 1.0)"
0,40252.18,0,8,8,0,0,0,0,-1,-1,"(0.0, 0.0)","(-1.0, -1.0)","(-1.0, -1.0)","(-1.0, -1.0, -1.0)","(33.0, 7.9, -65.3)","(-30.2, 12.8, -78.4)","(-1.0, -1.0, -1.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)",0,0,0,0,0,0,False,0,0,0,0,0,0,0,0,"(0.0, 7.1, -8.1)","(0.1, 0.0, 0.0, 1.0)"
0,40271.89,0,8,8,0,0,0,0,-1,-1,"(0.0, 0.0)","(-1.0, -1.0)","(-1.0, -1.0)","(-1.0, -1.0, -1.0)","(33.0, 7.9, -65.3)","(-30.2, 12.8, -78.4)","(-1.0, -1.0, -1.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)",0,0,0,0,0,0,False,0,0,0,0,0,0,0,0,"(0.0, 7.1, -8.1)","(0.1, 0.0, 0.0, 1.0)"
0,40291.93,0,8,8,0,1,1,0,-1,-1,"(0.0, 0.0)","(-1.0, -1.0)","(-1.0, -1.0)","(-1.0, -1.0, -1.0)","(33.0, 7.9, -65.3)","(-30.2, 12.8, -78.4)","(-1.0, -1.0, -1.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)",0,0,0,0,0,0,False,0,0,0,0,0,0,0,0,"(0.0, 7.1, -8.1)","(0.1, 0.0, 0.0, 1.0)"
0,40319.14,3,31,25,0,0,0,0,2.088379,-1,"(0.0, 0.0)","(0.5, 0.7)","(0.5, 0.7)","(33.0, 6.7, -61.0)","(33.0, 6.7, -61.0)","(-30.2, 12.4, -76.6)","(0.0, 0.0, 1.0)","(0.0, 0.0, 1.0)","(0.0, 0.0, 0.0)",0,0,0,0,0,0,False,0,0,0,0,0,0,0,0,"(0.0, 7.1, -8.0)","(0.1, 0.0, 0.0, 1.0)"
0,40355.57,3,31,31,0,0,0,0,2.252167,1.843582,"(0.0, 0.0)","(0.5, 0.7)","(0.5, 0.7)","(1.5, 10.4, -71.4)","(33.1, 8.2, -65.8)","(-30.1, 12.6, -77.0)","(0.0, 0.0, 1.0)","(-0.1, 0.0, 1.0)","(0.0, 0.0, 1.0)",0,0,0,0,0,0,False,0,0,0,0,0,0,0,0,"(0.0, 7.1, -7.9)","(0.1, 0.0, 0.0, 1.0)"
0,40397.45,3,31,31,0,0,0,0,2.23201,1.848053,"(0.0, 0.0)","(0.5, 0.7)","(0.5, 0.7)","(1.6, 9.8, -69.7)","(33.2, 7.4, -63.2)","(-30.0, 12.3, -76.2)","(0.0, 0.0, 1.0)","(0.0, 0.0, 1.0)","(0.0, 0.0, 1.0)",0,0,0,0,0,0,False,0,0,0,0,0,0,0,0,"(0.0, 7.1, -7.8)","(0.1, 0.0, 0.0, 1.0)"
0,40427.29,3,31,31,0,0,0,0,2.334885,1.854538,"(0.0, 0.0)","(0.5, 0.7)","(0.5, 0.7)","(1.7, 9.7, -69.1)","(33.3, 7.1, -62.1)","(-30.0, 12.2, -76.0)","(0.0, 0.0, 1.0)","(-0.1, 0.0, 1.0)","(0.0, 0.0, 1.0)",0,0,0,0,0,0,False,0,0,0,0,0,0,0,0,"(0.0, 7.1, -7.6)","(0.1, 0.0, 0.0, 1.0)"
0,40449.29,3,31,31,0,0,0,0,2.320679,1.837296,"(0.0, 0.0)","(0.5, 0.7)","(0.5, 0.7)","(1.7, 9.6, -69.1)","(33.3, 7.0, -61.9)","(-30.0, 12.3, -76.3)","(0.0, 0.0, 1.0)","(-0.1, 0.0, 1.0)","(0.0, 0.0, 1.0)",0,0,0,0,0,0,False,0,0,0,0,0,0,0,0,"(0.0, 7.1, -7.5)","(0.1, 0.0, 0.0, 1.0)"
0,40468.2,3,31,31,0,0,0,0,2.291611,1.802551,"(0.0, 0.0)","(0.5, 0.7)","(0.5, 0.7)","(1.7, 9.7, -69.4)","(33.3, 7.0, -61.6)","(-30.0, 12.5, -77.1)","(0.0, 0.0, 1.0)","(-0.1, 0.0, 1.0)","(0.0, 0.0, 1.0)",0,0,0,0,0,0,False,0,0,0,0,0,0,0,0,"(0.0, 7.1, -7.3)","(0.1, 0.0, 0.0, 1.0)"
