GtecTime,TimeTicks,CombinedEyeValidDataBitMask,LeftEyeValidDataBitMask,RightEyeValidDataBitMask,CombinedEyeOpenness,LeftEyeOpenness,RightEyeOpenness,CombinedPupilDiameter,LeftPupilDiameter,RightPupilDiameter,CombinedPupilPosition,LeftPupilPosition,RightPupilPosition,CombinedGazeOrigin,LeftGazeOrigin,RightGazeOrigin,CombinedGazeDirection,LeftGazeDirection,RightGazeDirection,LeftEyeWide,RightEyeWide,LeftEyeSqeeze,RightEyeSqeeze,LeftEyeFrown,RightEyeFrown,FocusStatus,RayOriginal,RayDirection,Collider,Distance,Normal,Point,Transform.position,Transform.rotation,Camera.position,Camera.rotation,UnityTimeTicks,EyeTimeStamp
0,637596181116402793,3,31,31,0,1,1,0,1.896469,1.974426,"(0.0, 0.0)","(0.5, 0.4)","(0.5, 0.5)","(0.4, 16.6, -73.4)","(31.9, 17.8, -76.4)","(-31.1, 15.5, -70.3)","(0.1, -0.3, 1.0)","(0.0, -0.3, 1.0)","(0.1, -0.3, 1.0)",0.06471869,0.06471869,0,0,0,0,False,0,0,0,0,0,0,0,0,0,0,637596181116432731,158435
0,637596181116402793,3,31,31,0,1,1,0,1.896378,1.976227,"(0.0, 0.0)","(0.5, 0.4)","(0.5, 0.5)","(0.4, 16.6, -73.4)","(31.9, 17.8, -76.4)","(-31.1, 15.5, -70.3)","(0.1, -0.3, 1.0)","(0.0, -0.3, 1.0)","(0.1, -0.3, 1.0)",0.06892163,0.06892163,0,0,0,0,False,0,0,0,0,0,0,0,0,"(-0.1, 7.2, -8.3)","(0.1, -0.2, -0.1, 1.0)",637596181116512502,158443
0,637596181116402793,3,31,31,0,1,1,0,1.892883,1.976364,"(0.0, 0.0)","(0.5, 0.4)","(0.5, 0.5)","(0.4, 16.6, -73.4)","(31.9, 17.8, -76.4)","(-31.1, 15.5, -70.3)","(0.1, -0.3, 1.0)","(0.0, -0.3, 1.0)","(0.1, -0.3, 1.0)",0.05205404,0.05205404,0,0,0,0,False,0,0,0,0,0,0,0,0,"(-0.1, 7.2, -8.3)","(0.1, -0.2, -0.1, 1.0)",637596181116592295,158451
0,637596181116402793,3,31,31,0,1,1,0,1.892899,1.974609,"(0.0, 0.0)","(0.5, 0.4)","(0.5, 0.5)","(0.4, 16.6, -73.4)","(31.9, 17.8, -76.4)","(-31.1, 15.5, -70.3)","(0.1, -0.3, 1.0)","(0.0, -0.3, 1.0)","(0.1, -0.3, 1.0)",0.04289544,0.04289544,0,0,0,0,False,0,0,0,0,0,0,0,0,"(-0.1, 7.2, -8.3)","(0.1, -0.2, -0.1, 1.0)",637596181116682051,158460
0,637596181116402793,3,31,31,0,1,1,0,1.892731,1.976395,"(0.0, 0.0)","(0.5, 0.4)","(0.5, 0.5)","(0.4, 16.6, -73.4)","(31.9, 17.8, -76.4)","(-31.1, 15.5, -70.3)","(0.1, -0.3, 1.0)","(0.0, -0.3, 1.0)","(0.1, -0.3, 1.0)",0.04074723,0.04074723,0,0,0,0,False,0,0,0,0,0,0,0,0,"(-0.1, 7.2, -8.3)","(0.1, -0.2, -0.1, 1.0)",637596181116761831,158468
0,637596181116402793,3,31,31,0,1,1,0,1.896393,1.97467,"(0.0, 0.0)","(0.5, 0.4)","(0.5, 0.5)","(0.4, 16.6, -73.4)","(31.9, 17.8, -76.4)","(-31.1, 15.5, -70.3)","(0.1, -0.3, 1.0)","(0.0, -0.3, 1.0)","(0.1, -0.3, 1.0)",0.04637692,0.04637692,0,0,0,0,False,0,0,0,0,0,0,0,0,"(-0.1, 7.2, -8.3)","(0.1, -0.2, -0.1, 1.0)",637596181116841622,158476
0,637596181116402793,3,31,31,0,1,1,0,1.896317,1.973541,"(0.0, 0.0)","(0.5, 0.4)","(0.5, 0.5)","(0.4, 16.6, -73.4)","(31.9, 17.8, -76.4)","(-31.1, 15.5, -70.3)","(0.1, -0.3, 1.0)","(0.0, -0.3, 1.0)","(0.1, -0.3, 1.0)",0.04834123,0.04834123,0,0,0,0,False,0,0,0,0,0,0,0,0,"(-0.1, 7.2, -8.3)","(0.1, -0.2, -0.1, 1.0)",637596181116921416,158485
0,637596181116402793,3,31,31,0,1,1,0,1.896423,1.969223,"(0.0, 0.0)","(0.5, 0.4)","(0.5, 0.5)","(0.4, 16.6, -73.4)","(31.9, 17.8, -76.4)","(-31.1, 15.5, -70.3)","(0.1, -0.3, 1.0)","(0.0, -0.3, 1.0)","(0.1, -0.3, 1.0)",0.05283599,0.05283599,0,0,0,0,False,0,0,0,0,0,0,0,0,"(-0.1, 7.2, -8.3)","(0.1, -0.2, -0.1, 1.0)",637596181117015313,158493
0,637596181116402793,3,31,31,0,1,1,0,1.8927,1.973541,"(0.0, 0.0)","(0.5, 0.4)","(0.5, 0.5)","(0.4, 16.6, -73.4)","(31.9, 17.8, -76.4)","(-31.1, 15.5, -70.3)","(0.1, -0.3, 1.0)","(0.0, -0.3, 1.0)","(0.1, -0.3, 1.0)",0.0502403,0.0502403,0,0,0,0,False,0,0,0,0,0,0,0,0,"(-0.1, 7.2, -8.3)","(0.1, -0.2, -0.1, 1.0)",637596181117095090,158501
0,637596181116402793,3,31,31,0,1,1,0,1.896271,1.980591,"(0.0, 0.0)","(0.5, 0.4)","(0.5, 0.5)","(0.4, 16.6, -73.4)","(31.9, 17.8, -76.4)","(-31.1, 15.5, -70.3)","(0.1, -0.3, 1.0)","(0.0, -0.3, 1.0)","(0.1, -0.3, 1.0)",0.05069373,0.05069373,0,0,0,0,False,0,0,0,0,0,0,0,0,"(-0.1, 7.2, -8.3)","(0.1, -0.2, -0.1, 1.0)",637596181117174885,158510
0,637596181116402793,3,31,31,0,1,1,0,1.883926,1.980362,"(0.0, 0.0)","(0.5, 0.4)","(0.5, 0.5)","(0.4, 16.6, -73.4)","(31.9, 17.8, -76.4)","(-31.1, 15.5, -70.3)","(0.1, -0.3, 1.0)","(0.0, -0.3, 1.0)","(0.1, -0.3, 1.0)",0.09136599,0.09136599,0,0,0,0,False,0,0,0,0,0,0,0,0,"(-0.1, 7.2, -8.3)","(0.1, -0.2, -0.1, 1.0)",637596181117264650,158518
0,637596181116402793,3,31,31,0,1,1,0,1.887024,2.00563,"(0.0, 0.0)","(0.5, 0.4)","(0.5, 0.5)","(0.4, 16.7, -73.4)","(31.9, 17.8, -76.4)","(-31.1, 15.5, -70.3)","(0.1, -0.3, 1.0)","(0.0, -0.3, 1.0)","(0.1, -0.3, 1.0)",0.1131938,0.1131938,0,0,0,0,False,0,0,0,0,0,0,0,0,"(-0.1, 7.2, -8.3)","(0.1, -0.2, -0.1, 1.0)",637596181117344431,158526
0,637596181116402793,3,31,31,0,1,1,0,2.068878,2.06543,"(0.0, 0.0)","(0.5, 0.4)","(0.5, 0.5)","(0.3, 16.7, -73.4)","(31.8, 17.8, -76.4)","(-31.1, 15.5, -70.3)","(0.1, -0.3, 1.0)","(0.0, -0.2, 1.0)","(0.1, -0.3, 1.0)",0.09188738,0.09188738,0,0,0,0,False,0,0,0,0,0,0,0,0,"(-0.1, 7.2, -8.3)","(0.1, -0.2, -0.1, 1.0)",637596181117424222,158535
0,637596181116402793,3,31,31,0,1,1,0,1.913986,2.070618,"(0.0, 0.0)","(0.5, 0.4)","(0.5, 0.5)","(0.3, 16.7, -73.4)","(31.8, 17.9, -76.4)","(-31.2, 15.5, -70.3)","(0.1, -0.3, 1.0)","(0.0, -0.3, 1.0)","(0.1, -0.3, 1.0)",0.08045276,0.08045276,0,0,0,0,False,0,0,0,0,0,0,0,0,"(-0.1, 7.2, -8.3)","(0.1, -0.2, -0.1, 1.0)",637596181117513978,158543
