GtecTime,UnityTimeTicks,EyeTimeStamp,CombinedEyeValidDataBitMask,LeftEyeValidDataBitMask,RightEyeValidDataBitMask,CombinedEyeOpenness,LeftEyeOpenness,RightEyeOpenness,CombinedPupilDiameter,LeftPupilDiameter,RightPupilDiameter,CombinedPupilPosition,LeftPupilPosition,RightPupilPosition,CombinedGazeOrigin,LeftGazeOrigin,RightGazeOrigin,CombinedGazeDirection,LeftGazeDirection,RightGazeDirection,LeftEyeWide,RightEyeWide,LeftEyeSqeeze,RightEyeSqeeze,LeftEyeFrown,RightEyeFrown,FocusStatus,GazeIndex,RayOriginal,RayDirection,Collider,Distance,Normal,Point,Transform.position,Transform.rotation,Camera.position,Camera.rotation
0,637598802185671602,274157,3,31,31,0,0.9556466,0.7107549,0,1.792206,1.767548,"(0.0, 0.0)","(0.5, 0.5)","(0.4, 0.6)","(1.7, 15.6, -76.5)","(32.8, 16.4, -78.0)","(-29.5, 14.8, -75.1)","(0.0, -0.3, 1.0)","(0.0, -0.3, 1.0)","(0.0, -0.3, 1.0)",0,0,0,0,0,0,False,0,0,0,0,0,0,0,0,0,0,0
0,637598802185761352,274165,3,31,31,0,0.9556466,0.7107549,0,1.792175,1.763016,"(0.0, 0.0)","(0.5, 0.5)","(0.4, 0.6)","(1.7, 15.6, -76.5)","(32.8, 16.4, -78.0)","(-29.5, 14.8, -75.1)","(0.0, -0.3, 1.0)","(0.0, -0.3, 1.0)","(0.0, -0.3, 1.0)",0,0,0,0,0,0,False,0,0,0,0,0,0,0,0,0,"(-0.1, 7.1, -8.0)","(0.1, -0.2, 0.0, 1.0)"
0,637598802185841133,274174,3,31,31,0,0.9545581,0.6865373,0,1.792221,1.760437,"(0.0, 0.0)","(0.5, 0.5)","(0.4, 0.6)","(1.7, 15.6, -76.5)","(32.8, 16.4, -78.0)","(-29.5, 14.8, -75.1)","(0.0, -0.3, 1.0)","(0.0, -0.3, 1.0)","(0.0, -0.3, 0.9)",0,0,0,0,0,0,False,0,0,0,0,0,0,0,0,0,"(-0.1, 7.1, -8.0)","(0.1, -0.2, 0.0, 1.0)"
0,637598802185920931,274182,3,31,31,0,0.9545581,0.6865373,0,1.813721,1.762207,"(0.0, 0.0)","(0.5, 0.5)","(0.4, 0.6)","(1.7, 15.6, -76.5)","(32.8, 16.4, -78.0)","(-29.5, 14.8, -75.1)","(0.0, -0.3, 1.0)","(0.0, -0.3, 1.0)","(0.0, -0.3, 0.9)",0,0,0,0,0,0,False,0,0,0,0,0,0,0,0,0,"(-0.1, 7.1, -8.0)","(0.1, -0.2, 0.0, 1.0)"
0,637598802186000706,274190,3,31,31,0,0.9521676,0.7537771,0,1.813644,1.762787,"(0.0, 0.0)","(0.5, 0.5)","(0.4, 0.6)","(1.7, 15.6, -76.5)","(32.8, 16.4, -78.0)","(-29.5, 14.8, -75.1)","(0.0, -0.3, 1.0)","(0.0, -0.3, 1.0)","(0.0, -0.3, 0.9)",0,0,0,0,0,0,False,0,0,0,0,0,0,0,0,0,"(-0.1, 7.1, -8.0)","(0.1, -0.2, 0.0, 1.0)"
0,637598802186090472,274199,3,31,31,0,0.9521676,0.7537771,0,1.813629,1.762955,"(0.0, 0.0)","(0.5, 0.5)","(0.4, 0.6)","(1.7, 15.6, -76.5)","(32.8, 16.4, -78.0)","(-29.5, 14.8, -75.1)","(0.0, -0.3, 1.0)","(0.0, -0.3, 1.0)","(0.0, -0.3, 1.0)",0,0,0,0,0,0,False,0,0,0,0,0,0,0,0,0,"(-0.1, 7.1, -8.0)","(0.1, -0.2, 0.0, 1.0)"
0,637598802186170251,274207,3,31,31,0,0.9442888,0.6971992,0,1.81366,1.762878,"(0.0, 0.0)","(0.5, 0.5)","(0.4, 0.6)","(1.7, 15.6, -76.5)","(32.8, 16.4, -78.0)","(-29.5, 14.8, -75.1)","(0.0, -0.3, 1.0)","(0.0, -0.3, 1.0)","(0.0, -0.3, 1.0)",0,0,0,0,0,0,False,0,0,0,0,0,0,0,0,0,"(-0.1, 7.1, -8.0)","(0.1, -0.2, 0.0, 1.0)"
0,637598802186260021,274215,3,31,31,0,0.9442888,0.6971992,0,1.801331,1.762299,"(0.0, 0.0)","(0.5, 0.5)","(0.4, 0.6)","(1.7, 15.6, -76.5)","(32.8, 16.4, -78.0)","(-29.5, 14.8, -75.1)","(0.0, -0.3, 1.0)","(0.0, -0.3, 1.0)","(0.0, -0.3, 0.9)",0,0,0,0,0,0,False,0,0,0,0,0,0,0,0,0,"(-0.1, 7.1, -8.0)","(0.1, -0.2, 0.0, 1.0)"
0,637598802186339814,274224,3,31,31,0,0.9399325,0.6864123,0,1.65004,1.762344,"(0.0, 0.0)","(0.5, 0.5)","(0.4, 0.6)","(1.7, 15.6, -76.5)","(32.8, 16.4, -78.0)","(-29.5, 14.8, -75.1)","(0.0, -0.3, 0.9)","(0.0, -0.3, 0.9)","(0.0, -0.3, 1.0)",0,0,0,0,0,0,False,0,0,0,0,0,0,0,0,0,"(-0.1, 7.1, -8.0)","(0.1, -0.2, 0.0, 1.0)"
0,637598802186419594,274232,3,31,31,0,0.9399325,0.6864123,0,1.706421,1.762482,"(0.0, 0.0)","(0.5, 0.5)","(0.4, 0.6)","(1.7, 15.6, -76.5)","(32.8, 16.4, -78.0)","(-29.5, 14.8, -75.1)","(0.0, -0.3, 0.9)","(0.0, -0.3, 0.9)","(0.0, -0.3, 1.0)",0,0,0,0,0,0,False,0,0,0,0,0,0,0,0,0,"(-0.1, 7.1, -8.0)","(0.1, -0.2, 0.0, 1.0)"
