GtecTime,UnityTime,LeftEyeOpenness,RightEyeOpenness
0,13-59-31.318,1,1
0,13-59-36.337,1,1
0,13-59-36.349,1,1
0,13-59-36.358,1,1
0,13-59-36.367,1,1
0,13-59-36.378,1,1
0,13-59-36.390,1,1
0,13-59-36.400,1,1
0,13-59-36.412,1,1
0,13-59-36.434,1,1
0,13-59-36.446,1,1
0,13-59-36.456,1,1
0,13-59-36.466,1,1
0,13-59-36.475,1,1
0,13-59-36.485,1,1
0,13-59-36.495,1,1
0,13-59-36.506,1,1
0,13-59-36.515,1,1
0,13-59-36.526,1,1
0,13-59-36.535,1,1
0,13-59-36.546,1,1
0,13-59-36.555,1,1
0,13-59-36.564,1,1
0,13-59-36.574,1,1
0,13-59-36.583,1,1
0,13-59-36.593,1,1
0,13-59-36.602,1,1
0,13-59-36.612,1,1
0,13-59-36.622,1,1
0,13-59-36.631,1,1
0,13-59-36.640,1,1
0,13-59-36.650,1,1
0,13-59-36.660,1,1
0,13-59-36.669,1,1
0,13-59-36.679,1,1
0,13-59-36.688,1,1
0,13-59-36.698,1,1
0,13-59-36.708,1,1
0,13-59-36.718,1,1
0,13-59-36.728,1,1
0,13-59-36.736,1,1
0,13-59-36.747,1,1
0,13-59-36.756,1,1
0,13-59-36.767,1,1
0,13-59-36.777,1,1
0,13-59-36.786,1,1
0,13-59-36.796,1,1
0,13-59-36.804,1,1
0,13-59-36.814,1,1
0,13-59-36.824,1,1
0,13-59-36.833,1,1
0,13-59-36.843,1,1
0,13-59-36.852,1,1
0,13-59-36.863,1,1
0,13-59-36.872,1,1
0,13-59-36.881,1,1
0,13-59-36.891,1,1
0,13-59-36.901,1,1
0,13-59-36.911,1,1
0,13-59-36.920,1,1
0,13-59-36.930,1,1
0,13-59-36.939,1,1
0,13-59-36.950,1,1
0,13-59-36.960,1,1
0,13-59-36.970,1,1
0,13-59-36.980,1,1
0,13-59-36.990,1,1
0,13-59-37.001,1,1
0,13-59-37.011,1,1
0,13-59-37.026,1,1
0,13-59-37.035,1,1
0,13-59-37.046,1,1
0,13-59-37.055,1,1
0,13-59-37.065,1,1
0,13-59-37.075,1,1
0,13-59-37.085,1,1
0,13-59-37.095,1,1
0,13-59-37.104,1,1
0,13-59-37.114,1,1
0,13-59-37.123,1,1
0,13-59-37.134,1,1
0,13-59-37.144,1,1
0,13-59-37.154,1,1
0,13-59-37.165,1,1
0,13-59-37.175,1,1
0,13-59-37.184,1,1
0,13-59-37.195,1,1
0,13-59-37.204,1,1
0,13-59-37.215,1,1
0,13-59-37.226,1,1
0,13-59-37.236,1,1
0,13-59-37.247,1,1
0,13-59-37.258,1,1
0,13-59-37.268,1,1
0,13-59-37.279,1,1
0,13-59-37.289,1,1
0,13-59-37.300,1,1
0,13-59-37.310,1,1
0,13-59-37.320,1,1
0,13-59-37.330,1,1
0,13-59-37.340,1,1
0,13-59-37.350,1,1
0,13-59-37.360,1,1
0,13-59-37.369,1,1
0,13-59-37.379,1,1
0,13-59-37.389,1,1
0,13-59-37.400,1,1
0,13-59-37.410,1,1
0,13-59-37.419,1,1
0,13-59-37.429,1,1
0,13-59-37.438,1,1
0,13-59-37.448,1,1
0,13-59-37.459,1,1
0,13-59-37.468,1,1
0,13-59-37.478,1,1
0,13-59-37.488,1,1
0,13-59-37.498,1,1
0,13-59-37.508,1,1
0,13-59-37.517,1,1
0,13-59-37.527,1,1
0,13-59-37.537,1,1
0,13-59-37.547,1,1
0,13-59-37.555,1,1
0,13-59-37.565,1,1
0,13-59-37.575,1,1
0,13-59-37.584,1,1
0,13-59-37.594,1,1
0,13-59-37.603,1,1
0,13-59-37.613,1,1
0,13-59-37.622,1,1
0,13-59-37.632,1,1
0,13-59-37.642,1,1
0,13-59-37.651,1,1
0,13-59-37.662,1,1
0,13-59-37.671,1,1
0,13-59-37.681,1,1
0,13-59-37.690,1,1
0,13-59-37.701,1,1
0,13-59-37.711,1,1
0,13-59-37.720,1,1
0,13-59-37.730,1,1
0,13-59-37.739,1,1
0,13-59-37.749,1,1
0,13-59-37.757,1,1
0,13-59-37.768,1,1
0,13-59-37.777,1,1
0,13-59-37.787,1,1
0,13-59-37.797,1,1
0,13-59-37.807,1,1
0,13-59-37.816,1,1
0,13-59-37.826,1,1
0,13-59-37.835,1,1
0,13-59-37.845,1,1
0,13-59-37.854,1,1
0,13-59-37.863,1,1
0,13-59-37.872,1,1
0,13-59-37.882,1,1
0,13-59-37.892,1,1
0,13-59-37.901,1,1
0,13-59-37.911,1,1
0,13-59-37.920,1,1
0,13-59-37.930,1,1
0,13-59-37.939,1,1
0,13-59-37.949,1,1
0,13-59-37.959,1,1
0,13-59-37.969,1,1
0,13-59-37.979,1,1
0,13-59-37.988,1,1
0,13-59-37.998,1,1
0,13-59-38.008,1,1
0,13-59-38.018,1,1
0,13-59-38.028,1,1
0,13-59-38.038,1,1
0,13-59-38.047,1,1
0,13-59-38.056,1,1
0,13-59-38.068,1,1
0,13-59-38.078,1,1
0,13-59-38.087,1,1
0,13-59-38.097,1,1
0,13-59-38.106,1,1
0,13-59-38.117,1,1
0,13-59-38.127,1,1
0,13-59-38.136,1,1
0,13-59-38.146,1,1
0,13-59-38.155,1,1
0,13-59-38.165,1,1
0,13-59-38.174,1,1
0,13-59-38.185,1,1
0,13-59-38.195,1,1
0,13-59-38.204,1,1
0,13-59-38.214,1,1
0,13-59-38.224,1,1
0,13-59-38.234,1,1
0,13-59-38.244,1,1
0,13-59-38.254,1,1
0,13-59-38.264,1,1
0,13-59-38.273,1,1
0,13-59-38.284,1,1
0,13-59-38.293,1,1
0,13-59-38.303,1,1
0,13-59-38.313,1,1
0,13-59-38.322,1,1
0,13-59-38.333,1,1
0,13-59-38.344,1,1
0,13-59-38.354,1,1
0,13-59-38.364,1,1
0,13-59-38.376,1,1
0,13-59-38.403,1,1
0,13-59-38.417,1,1
0,13-59-38.429,1,1
0,13-59-38.439,1,1
0,13-59-38.450,1,1
0,13-59-38.461,1,1
0,13-59-38.472,1,1
0,13-59-38.484,1,1
0,13-59-38.496,1,1
0,13-59-38.506,1,1
0,13-59-38.517,1,1
0,13-59-38.529,1,1
0,13-59-38.540,1,1
0,13-59-38.551,1,1
0,13-59-38.563,1,1
0,13-59-38.573,1,1
0,13-59-38.585,1,1
0,13-59-38.596,1,1
0,13-59-38.607,1,1
0,13-59-38.618,1,1
0,13-59-38.629,1,1
0,13-59-38.640,1,1
0,13-59-38.650,1,1
0,13-59-38.661,1,1
0,13-59-38.672,1,1
0,13-59-38.683,1,1
0,13-59-38.694,1,1
0,13-59-38.705,1,1
0,13-59-38.715,1,1
0,13-59-38.726,1,1
0,13-59-38.736,1,1
0,13-59-38.747,1,1
0,13-59-38.759,1,1
0,13-59-38.769,1,1
0,13-59-38.782,1,1
0,13-59-38.795,1,1
0,13-59-38.806,1,1
0,13-59-38.817,1,1
0,13-59-38.828,1,1
0,13-59-38.838,1,1
0,13-59-38.849,1,1
0,13-59-38.861,1,1
0,13-59-38.871,1,1
0,13-59-38.882,1,1
0,13-59-38.893,1,1
0,13-59-38.903,1,1
0,13-59-38.915,1,1
0,13-59-38.926,1,1
0,13-59-38.943,1,1
0,13-59-38.955,1,1
0,13-59-38.969,1,1
0,13-59-38.981,1,1
0,13-59-38.993,1,1
0,13-59-39.004,1,1
0,13-59-39.015,1,1
0,13-59-39.027,1,1
0,13-59-39.037,1,1
0,13-59-39.049,1,1
0,13-59-39.060,1,1
0,13-59-39.071,1,1
0,13-59-39.083,1,1
0,13-59-39.095,1,1
0,13-59-39.106,1,1
0,13-59-39.118,1,1
0,13-59-39.130,1,1
0,13-59-39.140,1,1
0,13-59-39.153,1,1
0,13-59-39.165,1,1
0,13-59-39.181,1,1
0,13-59-39.193,1,1
0,13-59-39.204,1,1
0,13-59-39.216,1,1
0,13-59-39.228,1,1
0,13-59-39.240,1,1
0,13-59-39.251,1,1
0,13-59-39.265,1,1
0,13-59-39.276,1,1
0,13-59-39.287,1,1
0,13-59-39.298,1,1
