MonsterMaxHp,PlayerSpeed,NumberOfColor,ObstacleAppearance,TargetDistance,AdaptiveToggle,ThresholdPoint,ConnectToGtecToggle
300,7,3,20,6,false,80,false
GtecTime,UnityTime,MoveLeft
21.02734,175018.828,0
28.90234,175026.691,1
29.49609,175027.304,1
30.09375,175027.905,1
33.05859,175030.867,1
33.55859,175031.365,1
34.40234,175032.194,1
35.49609,175033.305,1
38.05859,175035.850,1
38.58984,175036.399,1
39.03125,175036.870,1
39.55078,175037.353,1
42.05859,175039.872,1
42.37109,175040.177,1
42.90234,175040.697,1
43.52734,175041.314,1
