MonsterMaxHp,PlayerSpeed,NumberOfColor,ObstacleAppearance,TargetDistance,AdaptiveToggle,ThresholdPoint,ConnectToGtecToggle
300,7,3,20,6,false,80,false
GtecTime,UnityTime,GameEvent,MoveLeft,MoveRight,ButtonDown,ButtonUp,PlayerPosition,GetTarget,TargetPosition,Attackable,Attack,MonsterColorId,TargetColorId,AvoidObstacle,ObstaclePosition,MonsterColorChange,GetScore,MonsterId,MonsterHpPercent,Score
0,14-05-37.522,StartGame,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,14-05-42.527,MonsterChangeColor,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
0,14-05-42.888,MoveLeftKeyDown,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,14-05-43.077,MoveLeftKeyUp,1,0,0,1,-1.331393,0,0,0,0,0,0,0,0,0,0,0,0,0
0,14-05-44.036,GetTarget,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0
0,14-05-44.534,MissTarget,0,0,0,0,-3,-1,-3,0,0,0,0,0,0,0,-5,0,0,-5
0,14-05-44.556,AvoidResponse,0,0,0,0,0,0,0,-1,0,1,1,0,0,0,5,0,0,0
0,14-05-45.382,MissTarget,0,0,0,0,-3,-1,0,0,0,0,0,0,0,0,-5,0,0,-5
0,14-05-45.979,MoveRightKeyDown,0,1,1,0,-3,0,0,0,0,0,0,0,0,0,0,0,0,-5
0,14-05-46.232,MoveRightKeyUp,0,1,0,1,-1.236282,0,0,0,0,0,0,0,0,0,0,0,0,-5
0,14-05-46.255,AvoidObstacle,0,0,0,0,-0.9517478,0,0,0,0,0,0,1,3,0,0,0,0,-5
0,14-05-46.588,GetTarget,0,0,0,0,0,1,0,0,0,1,2,0,0,0,0,0,0,-5
0,14-05-47.093,MissTarget,0,0,0,0,2.938664E-22,-1,0,0,0,0,0,0,0,0,-5,0,0,-10
0,14-05-47.097,LateResponse,0,0,0,0,0,0,0,1,0,1,2,0,0,0,-10,0,0,-20
0,14-05-47.405,MoveLeftKeyDown,1,0,1,0,1.452084E-28,0,0,0,0,0,0,0,0,0,0,0,0,-20
0,14-05-47.551,MonsterChangeColor,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,-20
0,14-05-47.676,MoveLeftKeyUp,1,0,0,1,-1.898791,0,0,0,0,0,0,0,0,0,0,0,0,-20
0,14-05-47.886,MoveLeftKeyDown,1,0,1,0,-3.000024,0,0,0,0,0,0,0,0,0,0,0,0,-20
0,14-05-47.964,MissTarget,0,0,0,0,-3.676327,-1,-3,0,0,0,0,0,0,0,-5,0,0,-25
0,14-05-48.048,MoveLeftKeyUp,1,0,0,1,-4.123587,0,0,0,0,0,0,0,0,0,0,0,0,-25
0,14-05-48.324,GetTarget,0,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,-25
0,14-05-48.806,MissTarget,0,0,0,0,-6,-1,-6,0,0,0,0,0,0,0,-5,0,0,-30
0,14-05-48.833,LateResponse,0,0,0,0,0,0,0,1,0,2,1,0,0,0,-10,0,0,-40
0,14-05-48.881,MoveRightKeyDown,0,1,1,0,-6,0,0,0,0,0,0,0,0,0,0,0,0,-40
0,14-05-49.040,MoveRightKeyUp,0,1,0,1,-4.913121,0,0,0,0,0,0,0,0,0,0,0,0,-40
0,14-05-49.243,GetTarget,0,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,-40
0,14-05-49.664,MissTarget,0,0,0,0,-3,-1,-3,0,0,0,0,0,0,0,-5,0,0,-45
