Mode,Time,MonsterMaxHp,CDTLevel,TTTLevel,ObstacleAppearance
2,300,300,18,33,20
GtecTime,UnityTime,GameEvent,MoveLeft,MoveRight,ButtonDown,ButtonUp,PlayerPosition,GetTarget,TargetPosition,Attackable,Attack,MonsterColorId,TargetColorId,AvoidObstacle,ObstaclePosition,MonsterColorChange,GetScore,MonsterId,MonsterHpPercent,CDTAccuracy,CDTLevel,TimeWindow,TTTAccuracy,TTTLevel,Speed,Distance,Score
0,1844592,StartGame,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0.64,0,33,19.5,10,0
0,1844592,SpawnedMonster,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0,1849645,MonsterChangeColor,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,1850285,MoveRightKeyDown,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1850393,GetTarget,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5
0,1850439,MoveRightKeyUp,0,1,0,1,2.938566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
0,1850791,MoveRightKeyDown,0,1,1,0,2.99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
0,1850905,GetTarget,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,10
0,1850906,MoveRightKeyUp,0,1,0,1,5.793659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
0,1851217,MoveLeftKeyDown,1,0,1,0,5.999926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
0,1851342,MoveLeftKeyUp,1,0,0,1,3.110997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
0,1851416,GetTarget,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,15
0,1851642,MoveRightKeyDown,0,1,1,0,3.000053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
0,1851776,MoveRightKeyUp,0,1,0,1,5.884904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
0,1851938,GetTarget,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,20
0,1852117,MoveLeftKeyDown,1,0,1,0,5.999978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
0,1852250,MoveLeftKeyUp,1,0,0,1,3.092611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
0,1852447,ChangePlayerColor,0,0,0,0,0,0,0,1,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,20
0,1852449,GetTarget,0,0,0,0,0,1,0,0,0,3,3,0,0,0,5,0,0,0,0,0,0,0,0,0,25
0,1852680,MoveRightKeyDown,0,1,1,0,3.000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25
0,1852680,MonsterChangeColor,0,0,0,0,0,0,0,0,0,2,3,0,0,1,0,0,0,0,0,0,0,0,0,0,25
0,1852827,MoveRightKeyUp,0,1,0,1,5.92866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25
0,1852960,GetTarget,0,0,0,0,0,1,0,0,0,3,3,0,0,0,5,0,0,0,0,0,0,0,0,0,30
0,1853071,MoveLeftKeyDown,1,0,1,0,5.99986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30
0,1853093,AvoidResponse,0,0,0,0,0,0,0,-1,0,3,3,0,0,0,5,0,0,0,0,0,0,0,0,0,35
0,1853205,MoveLeftKeyUp,1,0,0,1,3.102416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35
0,1853266,Attack,0,0,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35
0,1853460,GetTarget,0,0,0,0,0,1,0,0,0,3,3,0,0,0,5,0,0,0,0,0,0,0,0,0,40
0,1853683,MoveRightKeyDown,0,1,1,0,3.000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40
0,1853826,MoveRightKeyUp,0,1,0,1,5.915341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40
0,1853971,GetTarget,0,0,0,0,0,1,0,0,0,3,3,0,0,0,5,0,0,0,0,0,0,0,0,0,45
0,1854223,MoveLeftKeyDown,1,0,1,0,5.999997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45
0,1854364,MoveLeftKeyUp,1,0,0,1,3.091403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45
0,1854505,GetTarget,0,0,0,0,0,1,0,0,0,3,3,0,0,0,5,0,0,0,0,0,0,0,0,0,50
0,1854710,MoveLeftKeyDown,1,0,1,0,3.000016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50
0,1854734,ChangePlayerColor,0,0,0,0,0,0,0,1,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,50
0,1854859,MoveLeftKeyUp,1,0,0,1,0.07278575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50
0,1855016,HitObstacle,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,-5,0,0,0,0,0,0,0,0,0,45
0,1855038,MoveLeftKeyDown,1,0,1,0,0.0008007306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45
0,1855231,MoveLeftKeyUp,1,0,0,1,-2.98013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45
0,1855380,LateResponse,0,0,0,0,0,0,0,1,0,2,4,0,0,0,-5,0,0,0,0,0,0,0,0,0,40
0,1855527,GetTarget,0,0,0,0,0,1,0,0,0,2,4,0,0,0,5,0,0,0,0,0,0,0,0,0,45
0,1855600,Attack,0,0,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45
0,1855715,MonsterChangeColor,0,0,0,0,0,0,0,0,0,3,4,0,0,1,0,0,0,0,0,0,0,0,0,0,45
0,1855805,MoveLeftKeyDown,1,0,1,0,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45
0,1855959,MoveLeftKeyUp,1,0,0,1,-5.945515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45
0,1856038,GetTarget,0,0,0,0,0,1,0,0,0,2,4,0,0,0,5,0,0,0,0,0,0,0,0,0,50
0,1856266,MoveRightKeyDown,0,1,1,0,-5.999979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50
0,1856421,MoveRightKeyUp,0,1,0,1,-3.060716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50
0,1856509,MoveRightKeyDown,0,1,1,0,-3.005886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50
0,1856680,MoveRightKeyUp,0,1,0,1,-0.04201492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50
0,1856726,AvoidObstacle,0,0,0,0,-0.007332366,0,0,0,0,0,0,1,-3,0,5,0,0,0,0,0,0,0,0,0,55
0,1857049,GetTarget,0,0,0,0,0,1,0,0,0,2,4,0,0,0,5,0,0,0,0,0,0,0,0,0,60
0,1857233,MoveRightKeyDown,0,1,1,0,-2.835648E-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60
0,1857391,MoveRightKeyUp,0,1,0,1,2.940098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60
0,1857571,GetTarget,0,0,0,0,0,1,0,0,0,2,4,0,0,0,5,0,0,0,0,0,0,0,0,0,65
0,1857780,ChangePlayerColor,0,0,0,0,0,0,0,1,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,65
0,1857806,MoveRightKeyDown,0,1,1,0,2.999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65
0,1857921,MoveRightKeyUp,0,1,0,1,5.869976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65
