GtecTime,UnityTime,CombinedEyeValidDataBitMask,LeftEyeValidDataBitMask,RightEyeValidDataBitMask,CombinedEyeOpenness,LeftEyeOpenness,RightEyeOpenness,CombinedPupilDiameter,LeftPupilDiameter,RightPupilDiameter,CombinedPupilPosition,LeftPupilPosition,RightPupilPosition,CombinedGazeOrigin,LeftGazeOrigin,RightGazeOrigin,CombinedGazeDirection,LeftGazeDirection,RightGazeDirection,LeftEyeWide,RightEyeWide,LeftEyeSqeeze,RightEyeSqeeze,LeftEyeFrown,RightEyeFrown,FocusStatus,RayOriginal,RayDirection,Collider,Distance,Normal,Point,Transform.position,Transform.rotation,Camera.position,Camera.rotation
549,1979257,3,31,31,0,1,1,0,2.643402,2.680267,"(0.0, 0.0)","(0.6, 0.5)","(0.6, 0.6)","(-5.4, 1.7, -28.2)","(32.2, 3.4, -26.2)","(-37.9, 0.3, -29.9)","(0.0, -0.2, 1.0)","(0.0, -0.2, 1.0)","(0.0, -0.2, 1.0)",0.1094684,0.1094684,0,0,0,0,False,0,0,0,0,0,0,0,0,"(-0.2, 2.6, 4.0)","(0.0, -1.0, 0.1, 0.2)"
554.0898,1984301,3,31,31,0,0.7582821,0.5615512,0,3.090164,3.304291,"(0.0, 0.0)","(0.6, 0.4)","(0.7, 0.5)","(-14.4, 3.0, -28.1)","(31.5, 5.1, -25.5)","(-38.8, 1.9, -29.5)","(-0.1, -0.2, 1.0)","(-0.1, -0.2, 1.0)","(-0.1, -0.2, 1.0)",0,0,0,0,0,0,False,0,0,0,0,0,0,0,0,"(0.0, 6.0, -8.0)","(0.2, 0.0, 0.0, 1.0)"
554.0938,1984326,3,31,31,0,0.7548393,0.5567083,0,3.089966,3.302658,"(0.0, 0.0)","(0.6, 0.4)","(0.7, 0.5)","(-12.5, 3.1, -28.0)","(31.5, 5.1, -25.5)","(-38.8, 1.9, -29.5)","(-0.1, -0.2, 1.0)","(-0.1, -0.2, 1.0)","(-0.1, -0.2, 1.0)",0,0,0,0,0,0,False,0,0,0,0,0,0,0,0,"(0.0, 6.0, -8.0)","(0.2, 0.0, 0.0, 1.0)"
554.1211,1984346,3,31,31,0,0.7550932,0.5469423,0,3.086105,3.300842,"(0.0, 0.0)","(0.6, 0.4)","(0.7, 0.5)","(-14.9, 3.0, -28.2)","(31.5, 5.1, -25.6)","(-38.8, 1.9, -29.5)","(-0.1, -0.2, 1.0)","(-0.1, -0.2, 1.0)","(-0.1, -0.2, 1.0)",0,0,0,0,0,0,False,0,0,0,0,0,0,0,0,"(0.0, 6.0, -7.9)","(0.2, 0.0, 0.0, 1.0)"
554.1211,1984367,3,31,31,0,0.7558651,0.5474246,0,3.069641,3.300812,"(0.0, 0.0)","(0.6, 0.4)","(0.7, 0.5)","(-21.4, 2.7, -28.6)","(31.5, 5.1, -25.6)","(-38.8, 1.9, -29.5)","(-0.1, -0.2, 1.0)","(-0.1, -0.2, 1.0)","(-0.1, -0.2, 1.0)",0,0,0,0,0,0,False,0,0,0,0,0,0,0,0,"(0.0, 6.0, -7.8)","(0.2, 0.0, 0.0, 1.0)"
554.2148,1984425,3,31,31,0,0.7609568,0.5728651,0,3.090103,3.292068,"(0.0, 0.0)","(0.6, 0.4)","(0.7, 0.5)","(-13.5, 3.0, -28.2)","(31.6, 5.0, -25.7)","(-38.8, 1.9, -29.6)","(-0.1, -0.2, 1.0)","(-0.1, -0.2, 1.0)","(-0.1, -0.2, 1.0)",0,0,0,0,0,0,False,0,0,0,0,0,0,0,0,"(0.0, 6.0, -7.6)","(0.2, 0.0, 0.0, 1.0)"
554.2148,1984443,3,31,31,0,0.7556228,0.5525762,0,3.063965,3.264893,"(0.0, 0.0)","(0.6, 0.4)","(0.7, 0.5)","(-5.2, 3.4, -27.7)","(31.5, 5.0, -25.7)","(-38.8, 1.9, -29.6)","(-0.1, -0.2, 1.0)","(-0.1, -0.2, 1.0)","(-0.1, -0.2, 1.0)",0,0,0,0,0,0,False,0,0,0,0,0,0,0,0,"(0.0, 6.0, -7.4)","(0.2, 0.0, 0.0, 1.0)"
554.2148,1984465,3,31,31,0,0.760144,0.563679,0,3.092163,3.253632,"(0.0, 0.0)","(0.6, 0.4)","(0.7, 0.5)","(-16.2, 2.9, -28.3)","(31.6, 5.0, -25.5)","(-38.7, 1.9, -29.6)","(-0.1, -0.2, 1.0)","(-0.1, -0.2, 1.0)","(-0.1, -0.2, 1.0)",0,0,0,0,0,0,False,0,0,0,0,0,0,0,0,"(0.0, 6.0, -7.2)","(0.2, 0.0, 0.0, 1.0)"
554.2773,1984487,3,31,31,0,0.7653304,0.5810729,0,3.086472,3.239365,"(0.0, 0.0)","(0.6, 0.4)","(0.7, 0.5)","(-23.1, 2.6, -28.8)","(31.5, 5.0, -25.5)","(-38.7, 1.9, -29.7)","(-0.1, -0.2, 1.0)","(-0.1, -0.2, 1.0)","(-0.1, -0.2, 1.0)",0,0,0,0,0,0,False,0,0,0,0,0,0,0,0,"(0.0, 6.0, -6.9)","(0.2, 0.0, 0.0, 1.0)"
554.2773,1984510,3,31,31,0,0.7673533,0.5688028,0,3.078323,3.230652,"(0.0, 0.0)","(0.6, 0.4)","(0.7, 0.5)","(-20.8, 2.7, -28.6)","(31.5, 5.0, -25.5)","(-38.7, 1.9, -29.7)","(-0.1, -0.2, 1.0)","(-0.1, -0.2, 1.0)","(-0.1, -0.2, 1.0)",0,0,0,0,0,0,False,0,0,0,0,0,0,0,0,"(0.0, 6.0, -6.7)","(0.2, 0.0, 0.0, 1.0)"
554.3086,1984530,3,31,31,0,0.7578341,0.5728503,0,3.066711,3.199112,"(0.0, 0.0)","(0.6, 0.4)","(0.7, 0.5)","(31.3, 5.0, -25.6)","(31.5, 5.0, -25.5)","(-38.7, 2.2, -31.0)","(-0.1, -0.2, 1.0)","(-0.1, -0.2, 1.0)","(-0.1, -0.2, 1.0)",0,0,0,0,0,0,False,0,0,0,0,0,0,0,0,"(0.0, 6.0, -6.4)","(0.2, 0.0, 0.0, 1.0)"
554.3086,1984552,3,31,31,0,0.7616701,0.5580062,0,3.049789,3.163239,"(0.0, 0.0)","(0.6, 0.4)","(0.7, 0.5)","(31.5, 5.0, -25.5)","(31.5, 5.0, -25.5)","(-38.7, 2.2, -31.1)","(-0.1, -0.2, 1.0)","(-0.1, -0.2, 1.0)","(-0.1, -0.2, 1.0)",0,0,0,0,0,0,False,0,0,0,0,0,0,0,0,"(0.0, 6.0, -6.1)","(0.2, 0.0, 0.0, 1.0)"
554.3398,1984575,3,31,31,0,0.789919,0.5643548,0,3.017548,3.131699,"(0.0, 0.0)","(0.6, 0.4)","(0.7, 0.5)","(31.5, 5.0, -25.6)","(31.5, 5.0, -25.6)","(-38.7, 2.2, -31.1)","(-0.1, -0.2, 1.0)","(-0.1, -0.2, 1.0)","(-0.1, -0.2, 1.0)",0,0,0,0,0,0,False,0,0,0,0,0,0,0,0,"(0.0, 6.0, -5.8)","(0.2, 0.0, 0.0, 1.0)"
554.3711,1984596,3,31,31,0,0.7883753,0.5693452,0,3.018158,3.131027,"(0.0, 0.0)","(0.6, 0.4)","(0.7, 0.5)","(31.3, 5.0, -25.6)","(31.5, 5.0, -25.6)","(-38.7, 2.2, -31.0)","(-0.1, -0.2, 1.0)","(-0.1, -0.2, 1.0)","(-0.1, -0.2, 1.0)",0,0,0,0,0,0,False,0,0,0,0,0,0,0,0,"(0.0, 6.0, -5.5)","(0.2, 0.0, 0.0, 1.0)"
554.4023,1984619,3,31,31,0,0.792721,0.5829898,0,3.014328,3.149765,"(0.0, 0.0)","(0.6, 0.4)","(0.7, 0.5)","(31.5, 5.0, -25.6)","(31.5, 5.0, -25.6)","(-38.8, 1.9, -29.6)","(-0.1, -0.2, 1.0)","(-0.1, -0.2, 1.0)","(-0.1, -0.2, 1.0)",0,0,0,0,0,0,False,0,0,0,0,0,0,0,0,"(0.0, 6.0, -5.2)","(0.2, 0.0, 0.0, 1.0)"
